nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Apel Emas Lezat,1 sedang (diameter 7 cm),72,"0,23g","19,06g","0,36g",1mg,0mg
Labu Siam,100 gram (g),17,"0,13g","3,9g","0,82g",2mg,0mg
Buah Persik,"1 sedang (diameter 6,5 cm ) (kira-kira 4 per 450 g)",38,"0,24g","9,35g","0,89g",0mg,0mg
Buah Ara,"1 sedang (diameter 5,5 cm)",37,"0,15g","9,59g","0,38g",0mg,0mg
Rambutan,1 buah,7,"0,02g","1,79g","0,06g",1mg,0mg
Golden Pear,1 porsi (122 g),51,0g,13g,1g,,"9,00g"
Stroberi Beku tanpa Pemanis,100 gram (g),35,"0,11g","9,13g","0,43g",2mg,0mg
Jambu Biji,100 gram (g),68,"0,95g","14,32g","2,55g",2mg,0mg
Sawo,100 gram (g),83,"1,1g","19,96g","0,44g",193mg,0mg
Blueberi Beku,1 mangkok,79,"0,99g","18,86g","0,65g",2mg,0mg
Apel Fuji,1 iris,9,"0,03g","2,35g","0,04g",0mg,0mg
Blackberry Beku,1 mangkok,97,"0,65g","23,66g","1,78g",2mg,0mg
Mangga Muda,100 gram (g),59,"0,24g","15,32g","0,46g",2mg,0mg
Blueberi,100 gram (g),57,"0,33g","14,49g","0,74g",1mg,0mg
"Nanas (Padat dan Cair, Kemasan Sirup Ringan, Kalengan)","1 mangkok, lumatan, irisan, atau potongan",131,"0,3g","33,89g","0,91g",3mg,0mg
Jeruk (dengan Kulit),1 buah tanpa biji,100,"0,48g","24,64g","2,07g",312mg,0mg
Buah Delima,1 buah,105,"0,46g","26,44g","1,46g",5mg,0mg
Duku,100 gram (g),68,"0,43g","17,06g","0,85g",1mg,0mg
Blewah Melon,"1 irisan, kecil (melon kecil 1/8 )",19,"0,1g","4,49g","0,46g",9mg,0mg
Campuran Buah Kering,1 mangkok,332,"0,6g","88,14g","2,98g",23mg,0mg
Apel (tanpa Kulit),1 sedang (diameter 7 cm) (kira-kira 3 per 450 g),61,"0,17g","16,33g","0,35g",0mg,0mg
Jeruk Nipis,100 gram (g),30,"0,2g","10,54g","0,7g",2mg,0mg
Es Buah,1 gelas,247,0g,"62,92g","0,77g",42mg,0mg
Rasberi Beku tanpa Pemanis,1 mangkok,130,"1,62g","29,85g",3g,2mg,0mg
Lemon,"1 buah (diameter 5,5 cm)",17,"0,17g","5,41g","0,64g",1mg,0mg
"Nanas Potongan (Manis, Beku)","1 mangkok, potongan besar",211,"0,24g","54,39g","0,98g",5mg,0mg
Plum,"1 buah (diameter 5,5 cm)",30,"0,18g","7,54g","0,46g",0mg,0mg
Lengkeng,1 buah,2,0g,"0,48g","0,04g",,0g
Stroberi,100 gram (g),32,"0,3g","7,68g","0,67g",1mg,0mg
Smoothie Buah (Dibuat dengan Buah atau Jus Buah Saja),1 gelas,130,"0,29g","33,52g","0,88g",4mg,0mg
Salak,1 buah,8,"0,02g","2,02g","0,04g",0mg,0mg
Super Fruit Mix,1 porsi (25 g),80,0g,21g,0g,,"0,00g"
Mangga,"1 mangkok, irisan",107,"0,45g","28,05g","0,84g",3mg,0mg
Jeruk,"1 buah (diameter 6,5 cm)",62,"0,16g","15,39g","1,23g",0mg,0mg
Buah Pir,1 sedang (sekitar 2-1/2 per 450 g),96,"0,2g","25,66g","0,63g",2mg,0mg
Buah Anggur,1 tanpa biji,3,"0,01g","0,9g","0,04g",0mg,0mg
Semangka Kuning,100 g,30,"0,15g","7,55g","0,61g",,
Rujak Buah,100 gram (g),213,"15,1g","14,96g","8,53g",69mg,2mg
Apel,1 sedang (diameter 7 cm) (kira-kira 3 per 450 g),72,"0,23g","19,06g","0,36g",1mg,0mg
Pisang,1 sedang (panjang 18 cm - 20 cm),105,"0,39g","26,95g","1,29g",1mg,0mg
Nanas,100 gram (g),48,"0,12g","12,63g","0,54g",1mg,0mg
Buah Naga,1 buah,50,"0,38g","12,26g","0,78g",2mg,0mg
Salad Buah,1 porsi (95 g),54,"0,81g","12,5g","0,63g",5mg,0mg
Melon,100 gram (g),34,"0,19g","8,16g","0,84g",16mg,0mg
Pepaya,"1 mangkok, potong dadu",55,"0,2g","13,73g","0,85g",4mg,0mg
Murbei,100 gram (g),43,"0,39g","9,8g","1,44g",10mg,0mg
Aprikot,1 aprikot,17,"0,14g","3,89g","0,49g",0mg,0mg
Jeruk Bali,100 gram (g),32,"0,1g","8,08g","0,63g",0mg,0mg
"Persik (Padat dan Cair, Jus Kemasan, Kalengan)",1 mangkok,110,"0,08g","28,92g","1,58g",10mg,0mg
"Salad Buah Tropis (Nanas, Pepaya, Pisang dan Jambu, Padat dan Cair, Sirup Kental, Kalengan)",1 mangkok,221,"0,26g","57,47g","1,05g",337mg,0mg
"Nanas (Padat dan Cair, Air Kemasan, Kalengan)","1 mangkok, lumatan, irisan, atau potongan",79,"0,22g","20,42g","1,06g",2mg,0mg
"Blueberry (Manis, Beku)",100 gram (g),81,"0,13g","21,95g","0,4g",1mg,0mg
"Persik (Padat dan Cair, Air Kemasan, Kalengan)","1 mangkok, separuh atau iris",59,"0,15g","14,91g","1,07g",7mg,0mg
Pir (Dimasak atau Kalengan),1 mangkok,197,"0,35g","50,99g","0,53g",13mg,0mg
"Persik (Padat dan Cair, Sirup Ringan Tambahan, Kalengan)","1 mangkok, separuh atau iris",104,"0,25g","27,42g","0,99g",183mg,0mg
Nata De Coco,1 porsi (225 g),150,0g,37g,0g,,"2,0g"
Tropic Green,1 porsi (250 ml),120,0g,28g,2g,,"2,00g"
Peach Berry,1 porsi (250 ml),90,0g,23g,0g,,"3,0g"
Cocopandan,1 bungkus (13 g),50,0g,12g,0g,,"0,000g"
Apel,100 g,72,"0,23g","19,06g","0,36g",,
Green Delight,1 sajian (250 ml),100,0g,23g,1g,,"23,00g"
Buah Mangga,100 g,65,"0,27g",17g,"0,51g",2mg,0mg
Pisang Barangan,100 gram (g),107,"0,35g","27,87g","1,21g",3mg,0mg
Daily Greens,1 serving (250 ml),90,0g,22g,0g,,"5,0g"
Fruit Tea Apel,1 porsi (250 ml),120,0g,30g,0g,,55mg
Prenagen Buah dan Sayur,1 botol (330 g),140,0g,39g,0g,"31,00g","0,000g"
Buah Lontar,100 gram (g),27,"0,18g","6,75g","0,34g",10mg,0mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Pisang Tanduk,100 gram (g),122,"0,37g","31,89g","1,3g",4mg,0mg
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Nangka Muda,100 gram (g),54,"0,36g","11,89g","2,3g",22mg,0mg
Terong Belanda,100 gram (g),48,"1,15g","8,64g","2,1g",10mg,0mg
Chicken Barbeque,1 porsi,211,0g,0g,0g,,0mg
Pisang Kepok,100 gram (g),104,"0,26g","27,44g","0,97g",3mg,0mg
Nature Delight Fruit Puree,1 porsi (80 g),70,0g,16g,1g,,
Jambu Jamaika,100 gram (g),48,"0,66g","9,99g","1,78g",2mg,0mg
Mangga Gandaria,1 bungkus (14 g),50,0g,14g,0g,,"0,000g"
"Nature Delight Fruit Puree Banana, Strawberry, Apple",1 porsi (80 g),70,0g,17g,1g,,"11,00g"
Sale Pisang,100 gram (g),276,"0,9g","66,51g","2,87g",61mg,0mg
Markisa,1 porsi (14 g),50,0g,14g,0g,,"0,000g"
Mixed Fruit Jam,1 porsi (14 g),45,0g,11g,0g,,
Pisang Mas,100 gram (g),90,"0,33g","23,27g","1,1g",1mg,0mg
Jeruk Kimkit,100 gram (g),43,"0,27g","11,93g","0,81g",2mg,0mg
Buah Dilapisi Coklat,1 stroberi,34,"2,97g","2,08g","0,15g",1mg,0mg
Kulit Jeruk Nipis,1 sdm,3,"0,02g","0,96g","0,09g",0mg,0mg
Nektarin,"1 buah (diameter 6,5 cm )",60,"0,44g","14,35g","1,44g",0mg,0mg
Stroberi dengan Gula,"1 mangkok, irisan",87,"0,49g","21,4g","1,11g",2mg,0mg
Matoa,100 gram (g),87,"0,49g","21,4g","1,05g",1mg,0mg
"Jeruk Keprok (Jeruk Mandarin,  Sirup Ringan Kemasan, Kalengan)",1 gelas,154,"0,25g","40,8g","1,13g",15mg,0mg
Cranberry Kering,1 mangkok,339,"1,51g","90,6g","0,08g",3mg,0mg
Stroberi dalam Sirup (Dimasak atau Kalengan),1 mangkok,234,"0,66g","59,77g","1,42g",10mg,0mg
