nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Keju Amerika (Kemasan Dingin),100 gram (g),331,"24,46g","8,32g","19,66g",966mg,"7,165g"
"Keju Amerika (Rendah Lemak, Dipasteurisasi)",1 iris (21 g),38,"1,47g","0,74g","5,17g","0,12g","0,421g"
Keju Monterey,100 gram (g),373,"30,28g","0,68g","24,48g","0,5g","8,751g"
Keju Cottage dengan Buah,1 gelas  (tidak dikemas),219,"8,7g","10,42g","24,16g","5,38g","2,341g"
"Kue Keju (dari Campuran, tanpa Jenis Kue Panggang)",1 buah (diameter 1/12 23 cm),271,"12,57g","35,14g","5,44g",376mg,"4,474g"
Singkong Serut Rasa Keju,1 bungkus (20 g),110,6g,13g,0g,90mg,0mg
Keju Cheddar atau Colby (Rendah Lemak),100 gram (g),173,7g,"1,91g","24,35g","0,52g","2,082g"
Keju Kambing,1 inci kubik,90,"7,21g","0,47g","5,88g","0,47g","1,645g"
Balls Cheese Flavour,1 porsi (14 g),70,"3,5g",9g,1g,,"2,00g"
Puffs Cheddar Cheese,1 porsi (10 g),50,"2,5g",6g,1g,,"6,00g"
Keju Mozzarella (Sebagian Susu Skim),100 gram (g),254,"15,92g","2,77g","24,26g","1,13g","4,51g"
Keju Colby Jack,1 iris (28 g),109,"8,85g","0,46g","6,84g","0,14g","2,556g"
Keju Ricotta (Susu Murni),1 mangkok,428,"31,93g","7,48g","27,7g","0,66g","8,922g"
Pasta Keju,1 stick (8 g),50,3g,4g,0g,,4mg
Pillows Rasa Keju,1 porsi (7 g),35,1g,5g,0g,0mg,0mg
Singles BBQ Chicken,1 lembar (17 g),60,4g,3g,2g,,"3,00g"
Keju Ricotta,100 gram (g),156,"10,44g","4,09g","11,32g","0,29g","2,971g"
Finger Cheese Biskuit,36 keping (25 g),110,"2,5g",18g,3g,,"2,0g"
Baked Cheese Tart,1 tart (45 g),181,10g,19g,4g,,"19,00g"
Keju Parmesan (Keras),100 gram (g),392,"25,83g","3,22g","35,75g","0,8g","7,515g"
"Keju Cheddar atau Amerika (Bebas Lemak, Dipasteurisasi)",1 iris (21 g),31,"0,17g","2,81g","4,72g","2,09g","0,048g"
Keju Muenster (Rendah Lemak),1 iris,77,"4,93g","0,98g","6,92g","0,98g","1,425g"
Keju Provolone,1 iris (28 g),98,"7,45g","0,6g","7,16g","0,16g","2,07g"
Rendah Lemak (1-2% Lemak) Keju Cottage,1 mangkok,163,"2,31g","6,15g",28g,"6,15g","0,658g"
"Keju Cottage (Rendah Lemak , 1% Lemak Susu, tanpa Sodium)",1 gelas,163,"2,26g","6,1g","28,02g","6,1g","0,642g"
Singles Reguler,1 slice (17 g),50,"3,5g",1g,3g,,"3,00g"
Keju Singles 40% Kurang Lemak,1 lembar (17 g),35,2g,0g,3g,,"0,00g"
Saus Keju,1/4 mangkok,110,"8,37g","4,3g","4,23g","0,26g","2,408g"
Keju Mozzarella,100 gram (g),302,"20,03g","3,83g","25,96g","0,6g","5,73g"
Cheese Stick,1 takaran saji (24 g),70,"4,5g",5g,2g,,"2,00g"
Milky Soft,1 porsi (30 g),90,7g,4g,3g,,"3,00g"
Slice Melt,1 slice  (16 g),60,"4,5g",1g,3g,,"1,00g"
Keju Cheddar,1 potong (20 g),60,5g,1g,4g,,"4,00g"
Keju Krim,1 sdm,51,"5,06g","0,39g","1,09g","0,03g","1,427g"
Keju Cheddar,1 mangkuk (30 g),90,7g,2g,6g,,"6,00g"
Mozzarella & Cheddar,1 slice (15 g),50,4g,2g,2g,,"2,00g"
Quick Melt (Keju Cepat Leleh),1 takaran saji (30 g),100,7g,4g,5g,,"5,00g"
Cheddar,1 takaran saji (20 g),60,5g,1g,4g,,"4,00g"
Keju Parmesan (Parut),1 sdm,22,"1,43g","0,2g","1,92g","0,04g","0,419g"
Keju Slice,1 lembar (17 g),50,"3,5g",1g,3g,,"3,00g"
Gold Cheddar,1 sendok makan (20 g),70,5g,3g,1g,,"3,00g"
Keju Serbaguna,"1 potong (27,5 g)",80,5g,6g,2g,,"6,00g"
Cheddar Cheese,1 porsi (20 g),60,5g,1g,4g,,"4,00g"
Singles,1 lembar (17 g),52,"3,5g",2g,3g,,"3,00g"
Keju Cheddar,100 gram (g),403,"33,14g","1,28g","24,9g","0,52g","9,391g"
Enchilada dengan Keju,100 gram (g),196,"11,56g","17,51g","5,91g",147mg,"3,872g"
Cream Cheese,1 porsi (50 g),120,11g,1g,4g,,"1,00g"
Keju Kambing (Keras),100 gram (g),452,"35,59g","2,17g","30,52g","2,17g","8,117g"
Macaroni & Cheese Dinner,1 porsi (70 g),260,"2,5g",48g,9g,,"9,00g"
Cream Cheese Wafer,1 wafer (10 g),45,2g,7g,1g,,"3,00g"
Sandwich Telur dan Keju,1 sandwich,340,"19,42g","25,93g","15,61g",188mg,"8,267g"
Belcube,"1 cube (5,2 g)",13,1g,"0,23g","0,6g",,3mg
Keju Camembert,100 gram (g),300,"24,26g","0,46g","19,8g","0,46g","7,023g"
Klop Saluto Cheese,1 porsi (20 g),100,4g,13g,2g,,"2,00g"
Keju Gouda,100 gram (g),356,"27,44g","2,22g","24,94g","2,22g","7,747g"
Spreadable Processed Cheese,1 portion (15 g),36,"2,8g",1g,"1,7g","0,0g","0,000g"
Mushroom Mozaru,1 porsi,684,49g,41g,21g,,
Mexican Chicken with Mac N Cheese + Free Garlic Bread,1 porsi,482,10g,55g,43g,,"6,0g"
Chicken Stick Rasa Keju,100 g,320,20g,24g,12g,,"24,00g"
Classic Corned Beef Rasa Keju,1 bungkus (50 g),80,4g,5g,6g,,"6,00g"
Bakpia Keju,2 buah (50 g),250,15g,26g,4g,,"26,00g"
Feta Cheese,1 porsi (50 g),130,9g,3g,8g,,
Quick Melt,1 potong (17 g),60,5g,4g,1g,"0,0g","0,000g"
DFC Geprek Melted Cheese,1 porsi,426,20g,63g,31g,,
Sponge Crunch Cheddar Cheese,1 porsi (12 g),70,"4,5g",7g,1g,50mg,0mg
