nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Ayam (Dilapisi Tepung Roti dan Digoreng),4 buah,190,"12,04g","10,44g","9,98g","0,56g","5,105g"
Telur Goreng,1 besar,89,"6,76g","0,43g","6,24g","0,38g","2,754g"
Lele Goreng,100 gram (g),105,"2,85g",0g,"18,47g",50mg,"1,099g"
Leher Ayam,100 gram (g),297,"26,24g",0g,"14,07g",64mg,"10,55g"
Hati Ayam,100 gram (g),116,"4,83g",0g,"16,92g",0g,"0,819g"
Kulit Ayam,100 gram (g),454,"40,68g",0g,"20,36g",0g,"17,03g"
Ikan dan Ayam Sambal Kecombrang With Nasi Goreng Kecombrang,1 porsi,455,11g,48g,41g,,"6,0g"
Yum Yum Mi Goreng Rasa Ayam Panggang Pedas Thailand,1 bungkus (70 g),330,14g,45g,5g,,"45,00g"
Tahu Goreng,1 buah,35,"2,62g","1,36g","2,23g","0,35g","0,579g"
Puass Mi Goreng Rasa Fried Chicken Ayam Krispi,100 g,470,20g,65g,8g,,"8,00g"
Ikan & Ayam Sambal Kecombrang With Nasi Goreng Kecombrang,1 porsi,455,11g,48g,41g,,"6,0g"
Isi 2 Mi Goreng Rasa Ayam Kecap,1 porsi (126 g),560,24g,77g,10g,,"77,00g"
Isi 2 Mi Goreng Rasa Ayam Kremes,1 bungkus (125 g),560,23g,79g,10g,,"10,00g"
Nasi Yummy Ayam Goreng Saus Mentega,1 porsi (260 g),400,12g,64g,10g,,
Mi Goreng Rasa Ayam Panggang Jumbo,1 bungkus (127 g),570,25g,75g,14g,,"14,00g"
Mie Goreng Rasa Ayam Panggang Kecap,1 bungkus (90 g),420,18g,57g,8g,,"3,0g"
Mi Goreng Rasa Mi Ayam Istimewa,100 g,420,16g,62g,7g,,"7,00g"
Tepung Bumbu Ayam Goreng ala Korea,1 takaran saji (35 g),120,0g,26g,4g,,"26,00g"
Ayam Betutu with Nasi Goreng Bali,1 porsi,460,12g,47g,41g,,"6,0g"
Mie Goreng Ayam Bakar Limau,1 bungkus (89 g),400,14g,61g,8g,0mg,"8,00g"
Ripik Hijau Rasa Ayam Goreng,1 bungkus (3 g),20,2g,1g,0g,25mg,0mg
Bumbu Nasi Goreng Ayam Spesial,1 porsi (5 g),10,0g,2g,0g,,"2,00g"
Mie Goreng Rasa Ayam Kecap,1 bungkus (126 g),580,24g,79g,12g,0mg,"12,00g"
