nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Multi Grain Mix,1 sachet (25 g),100,1g,19g,3g,,"3,0g"
Nasi Goreng Ayam,1 mangkok,329,"11,96g","41,82g","12,45g",598mg,105mg
Nasi Goreng tanpa Daging,1 mangkok,251,"9,1g","34,81g","7,02g",705mg,73mg
Healthy Nasi Uduk,1 porsi,448,12g,50g,35g,,
"Nasi Merah (Butir-Panjang, Dimasak)",100 gram (g),111,"0,9g","22,96g","2,58g",5mg,0mg
Nasi Padang,1/2 porsi (380 g),300,20g,30g,20g,,
"Nasi Merah (Butir-Sedang, Dimasak)",1 mangkok,218,"1,62g","45,84g","4,52g",154mg,0mg
Golden Cheese Meatloaf With Honey Cinnamon Sweet Potatoes,1 porsi,460,12g,53g,35g,,
Nasi Jinggo,1 bungkus,590,"21,41g","70,19g","26,94g","5,51g","11,866g"
Nasi Kebuli,100 gram (g),159,"6,33g","20,7g","4,87g",166mg,10mg
Beras Putih,100 gram (g),361,"0,59g","79,48g","6,75g",2mg,0mg
Nasi Pecel,100 gram (g),230,"9,33g","31,74g","6,58g",8mg,0mg
Rice,1 porsi,212,0g,48g,5g,,
Nasi Jagung,100 gram (g),150,"3,99g","26,14g","2,67g","0,64g","1,808g"
Sup Nasi Ayam,1 mangkok,60,"1,9g","7,16g","3,54g",817mg,7mg
Nasi Uduk,100 g,83,3500g,5500g,2500g,,
Lontong,1 potong,130,"0,2g","28,58g","2,49g","0,1g","0,069g"
Bubur Nasi,100 gram (g),72,"0,54g","15,26g","1,5g",126mg,0mg
Nasi Basmati,100 gram (g),121,"0,38g","25,22g","3,54g",126mg,0mg
Nasi Padang,1 bungkus (380 g),664,15g,70g,70g,,
Nasi Uduk,1 mangkok,260,"12,95g","32,84g","4,07g",317mg,0mg
Nasi Kuning,"1 mangkok,masak",150,"0,27g","32,96g","2,99g",869mg,0mg
"Nasi Putih (Butir-Panjang, Dimasak)",1 mangkok,205,"0,44g","44,51g","4,25g",2mg,0mg
Nasi,100 g,70,0g,18g,1g,"0,00g","0,000g"
Nasi Putih Instan,"1 mangkok,masak",191,"0,83g","41,04g","3,56g",582mg,0mg
Nasi Goreng,1 mangkok,333,"12,34g","41,7g","12,47g",822mg,103mg
"Nasi Putih (Butir-Pendek, Dimasak)",1 mangkok,242,"0,35g","53,44g","4,39g",,0mg
Nasi Liwet,100 gram (g),138,"2,72g","25,94g","2,74g",228mg,0mg
Rice,"3 sendok makan (212,61 g)",268,"0,3g","59,57g","6,8g",,27mg
Nasi Merah,100 gram (g),110,"0,89g","22,78g","2,56g",301mg,0mg
"Nasi Putih (Butir-Sedang, Dimasak)",1 mangkok,242,"0,39g","53,18g","4,43g",54mg,0mg
Nasi Putih,"1 mangkok,masak",204,"0,44g","44,08g","4,2g",577mg,0mg
Popped Rice Crackers Sea Salt,1 porsi (35 g),140,0g,28g,3g,,"3,00g"
Ayam Gepuk Sambal Bawang with Nasi Uduk + Tahu Kukus Bumbu Kacang,1 porsi,463,11g,49g,42g,,
Shirataki Rice,5 sendok makan (85 g),10,0g,3g,1g,,"3,00g"
Slimbimbab,1 porsi,493,17g,51g,34g,,
Tokyo Bowl,1 porsi,448,23g,29g,31g,,
Ronde,100 gram (g),308,"0,45g","68,39g","5,57g",6mg,0mg
Brondong Ketan,100 g,380,"1,5g",86g,6g,,"49,00g"
Beef Bowl (Large),1 bowl (610 g),1040,38g,131g,43g,,"43,00g"
Ikan Pesmol with Nasi Liwet + Tahu Tektek,1 porsi,465,13g,46g,41g,,
Shirataki Nasi Pedas Ayam Suwir Bali,1 porsi,376,16g,24g,32g,,
Muscle Korean Samyang Chicken,1 porsi,684,20g,55g,71g,,
Chicken Kebuli Fried Rice,1 porsi,443,11g,52g,34g,,
Nata De Coco,1 porsi (225 g),150,0g,37g,0g,,"2,0g"
Nasi Tempong Shirataki,1 porsi,364,14g,26g,42g,,
Shirataki Nasi Smoked Tuna Woku,1 porsi,381,15g,27g,33g,,
Nasi Kapau,1 serving,391,15g,28g,36g,,
Ricebowl Beef Gyudon,1 porsi,155,9g,7g,13g,,
Tsubu Konnyaku,1 porsi (200 g),80,"1,5g",6g,1g,,"4,0g"
Nasi Goreng Rendang,1 porsi,448,12g,49g,36g,,
Super Bubur dengan Kuah Soto,1 bungkus (46 g),190,4g,35g,4g,,"1,00g"
Shirataki Nasi Goreng Kampung,1 porsi,330,"16,9g","26,4g","16,9g",,
Kung Fu Paw Chick,1 porsi,316,"7,15g","35,25g","27,19g",,
Sei Ayam with Brown Rice,1 porsi,351,"9,29g","51,31g","13,56g",,"51,31g"
Nasi Daun Jeruk Ayam Sambal Matah,100 g,590,26g,69g,20g,,
Indian Butter Chicken With Brown Rice + Free Vegetable Pakoras,1 porsi,476,12g,50g,42g,,
Ayam Geprek,1 porsi,457,13g,53g,32g,,
