nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Fresh Milk Vanilla,1 botol (200 ml),130,7g,9g,6g,,"4,00g"
Susu,1 sachet (27 g),120,6g,14g,5g,,"5,00g"
Energen Rasa Vanila,1 gelas (29 g),140,"3,5g",23g,1g,65mg,0mg
Susu UHT Full Cream (200ml),1 pak (200 ml),120,6g,10g,6g,400mg,"6,00g"
Choco Malt Milk,1 cangkir (250 ml),190,7g,26g,7g,110mg,20mg
Susu Bubuk Full Cream,4 sendok makan (37 g),170,6g,23g,6g,100mg,4mg
Susu Low Fat,1 gelas (200 ml),170,"0,5g",34g,7g,340mg,0mg
Fresh Milk,100 ml,65,"3,5g","4,5g",3g,35mg,8mg
Belgian Chocolate,1 bedak wangi (30 g),120,"2,5g",19g,5g,130mg,0mg
Susu UHT Low Fat Source of Calcium Rasa Coklat,1 kotak (250 ml),130,2g,20g,7g,160mg,10mg
Total,1 serving (35 g),140,"3,5g",19g,9g,,"19,00g"
"Susu (Bebas Lemak atau Skim, Kalsium Difortifikasi)",1 gelas,86,"0,44g","11,98g","8,4g","11,98g","0,116g"
1% Lemak Susu,1 gelas,102,"2,37g","12,18g","8,22g","12,69g","0,676g"
Susu UHT Coklat,1 pak (200 ml),170,5g,26g,4g,,"26,00g"
Susu Uht,100ml (100 g),110,"2,5g",16g,7g,370mg,5mg
Hi-Calcium Low Fat Milk,1 porsi (200 ml),80,"2,5g",9g,6g,260mg,5mg
Susu Low Fat,1 gelas (225 ml),110,3g,16g,7g,,5mg
Susu Kental Manis Cokelat,4 sendok makan (40 g),130,"4,5g",22g,1g,,"1,00g"
Low Fat High Calcium French Vanilla,1 pak (225 g),110,"2,5g",16g,7g,370mg,5mg
Bear Brand Milk,1 kaleng (189 ml),120,7g,9g,6g,,"6,00g"
Non Fat Milk,1 porsi (200 ml),70,0g,11g,6g,10mg,10mg
Skimmed Milk (200ml),1 gelas (200 ml),60,0g,10g,7g,70mg,0mg
Susu Murni,1 gelas,146,"7,93g","11,03g","7,86g","12,83g","1,981g"
Low Fat Source of Calcium (200ml),1 pak (200 ml),130,2g,20g,7g,360mg,8mg
Susu UHT Rasa Stroberi,1 kotak (200 ml),150,"4,5g",22g,6g,,"6,00g"
Susu UHT Full Cream,1 takaran saji (200 ml),120,6g,10g,6g,240mg,20mg
