nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Double Choco Pie,1 porsi (50 g),241,13g,26g,3g,"9,00g","0,000g"
Belgian Chocolate,1 bedak wangi (30 g),120,"2,5g",19g,5g,220mg,"5,00g"
Kitkat Chunky,1 takaran saji (12 g),64,"3,6g","6,7g",1g,,11mg
Yogurt Coklat Beku (Sajian Lembut),1/2 mangkok (120 ml),115,"4,32g","17,93g","2,88g",188mg,4mg
Chocolate Chip Cookies,1 cookie (29 g),141,"5,9g","19,8g","2,1g",,
Permen Coklat Putih,100 gram (g),539,"32,09g","59,24g","5,87g","59,08g","9,004g"
Cocoa Powder,1 sendok teh (30 g),120,3g,16g,7g,,"7,00g"
Kue Mangkok dengan Campuran (Rendah Lemak),100 gram (g),305,"3,7g","67,2g","4,3g",224mg,0mg
Cokelat Susu Kedelai,1 gelas,120,"4,68g","14,23g","6,74g",29mg,0mg
3 in 1 Rasa Cokelat,1 kemasan (29 g),120,3g,22g,2g,,"2,00g"
Milk Chocolate,2 keping (30 g),160,10g,16g,4g,,
Permen Coklat Manis,100 gram (g),505,"34,2g","59,6g","3,9g",16mg,0mg
Chocolate Cashew Nut,1 porsi (15 g),80,5g,9g,1g,,"2,0g"
Choco,1 porsi (40 g),160,4g,26g,5g,,"5,0g"
Donat Dilapisi Coklat,1 donat (diameter 5 cm ),133,"8,68g","13,44g","1,4g",120mg,17mg
Agarasa Coklat,"1/5 sachet (4,5 g)",15,0g,3g,0g,0mg,"0,00g"
Gold Spirit,1 cangkir (115 ml),120,4g,18g,2g,30mg,"1,000g"
Selai Cokelat Kacang,1 sendok makan (14 g),90,6g,6g,2g,,"6,00g"
Selai Coklat,1 sendok makan (20 g),110,6g,13g,1g,,"10,00g"
Dairy Milk Oreo,1 batang (30 g),170,11g,17g,2g,,"2,00g"
Susu Coklat (Seluruhnya),100 ml,88,"3,58g","10,91g","3,34g",63mg,13mg
Dairy Milk Chocolate,1 porsi (27 ml),150,9g,15g,2g,,"2,00g"
Extra Dark Compound Chocolate,1 porsi (25 g),140,9g,14g,1g,,
Chunky Bar Almond,1 potong (30 g),170,"11,2g","12,7g","3,8g",,"5,000g"
Wafer Coklat,1 wafer,26,"0,85g","4,34g","0,4g",35mg,0mg
Dairy Milk Chocholate,1 slice (30 g),160,9g,18g,2g,,"18,00g"
Saus Cokelat,1 mangkok,123,"5,5g","11,21g","8,74g",1305mg,7mg
Coklat,1 buah (13 g),80,5g,6g,1g,,"5,00g"
Coklat,1 porsi (17 g),90,"4,9g","9,7g","1,3g",,17mg
Susu Tango Italian Chocolate,1 porsi (200 ml),140,5g,21g,3g,,"21,00g"
Coklat Manis atau Gelap,100 gram (g),505,"34,2g","59,6g","3,9g",16mg,0mg
Schoko Bons,"1 bonbon (5,8 g)",33,"2,1g",3g,"0,5g",,"0,1g"
Coklat,1 potong (30 g),170,11g,14g,4g,,
Cookies,3 cookies (30 g),160,9g,18g,2g,,"2,00g"
Black Thunder,1 bungkus (21 ml),110,5g,14g,1g,,"1,00g"
2 Go Chocolate,1 kotak (200 ml),120,"2,5g",12g,12g,,"12,00g"
Whole Hazelnuts,1 porsi (25 g),140,9g,13g,2g,,"10,00g"
Ice Cream Sandwich,1 porsi (80 ml),140,3g,28g,2g,,"1,000g"
Chunky,1 sajian (20 g),110,7g,9g,2g,,"6,00g"
Praline,100 g,554,34g,54g,"7,3g",,"51,00g"
Twister Minis Black,1 bungkus (30 ml),140,5g,22g,2g,0mg,0mg
Susu Bubuk Coklat,1 porsi (40 g),180,5g,27g,5g,70mg,6mg
Kismis Dilapisi Coklat Susu,1 mangkok,702,"26,64g","122,94g","7,38g",65mg,5mg
Swiss Choco,1 porsi (37 g),120,"3,5g",22g,1g,,"22,00g"
Cokelat Hati,1 porsi (3 pcs) (30 g),170,11g,15g,3g,,"5,00g"
Waffle Cookiez & Cream,1 porsi (25 g),120,7g,15g,1g,,"1,0g"
Kitkat Chunky,1 potong (12 g),60,"3,5g",7g,1g,,"7,00g"
Susu Rasa Sereal Coklat,1 sajian (125 ml),80,"2,5g",15g,2g,,"15,00g"
Pudding Susu Belgian Chocolate,100 g,420,9g,76g,10g,,"51,00g"
Roti Isi Krim Hazelnut,1 porsi (50 g),170,"4,5g",27g,5g,,"2,0g"
Nata De Coco,1 porsi (225 g),150,0g,37g,0g,,"2,0g"
Top Strawberry,1 porsi (16 g),80,4g,10g,1g,,"6,00g"
Coffee Macchiato,100 g,130,"3,5g",22g,2g,,"2,0g"
Silver Queen Verry Berry Yoghurt,1 porsi (20 g),110,6g,11g,2g,,"1,0g"
Signature Chocolate,"1 porsi (473,176 g)",470,24g,57g,16g,,
Roti Sobek Cokelat Susu,1 porsi (118 g),380,11g,61g,9g,,"61,00g"
Chocolate Drink,1 cup (40 g),180,6g,28g,3g,,"3,00g"
Pepero Choco Cookie,1 porsi (32 g),160,7g,21g,3g,97mg,"3,00g"
Crispy,1 sajian (20 g),110,7g,10g,2g,,"7,00g"
Jeju Choco Late,1 kemasan (180 ml),120,4g,16g,4g,65mg,10mg
Chunky Bar Dark Chocolate Cashew,1 porsi (20 g),110,7g,11g,2g,,"7,00g"
Sereal Rasa Coklat,1 porsi (34 g),150,"3,5g",27g,2g,"18,00g","0,000g"
Milo Less Sugar,1 porsi (28 g),120,3g,19g,4g,,"19,00g"
Soes Cokelat,1 porsi (25 g),140,9g,13g,2g,,"8,00g"
Dark Chocolate with Cashews,2 potong (20 g),110,7g,10g,2g,,"8,00g"
