nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Mie Kremezz Shake & Shorr,1 bungkus (11 g),50,2g,7g,1g,,"1,00g"
Mi Goreng Rasa Cakalang,1 bungkus (82 g),360,12g,55g,8g,0mg,"8,00g"
Mie Sagu,100 gram (g),190,"0,34g","46,41g","0,22g",2mg,0mg
Bihun Goreng,1 porsi (300 g),455,"17,04g","54,79g","17,73g",967mg,104mg
Mie Gelas Rasa Baso Sapi,1 porsi (28 g),120,4g,18g,3g,,
CAP 3 Ayam,1 serving (67 g),230,0g,49g,8g,,"6,0g"
Kwetiau Goreng,100 g,338,"12,3g",18g,3g,,"5,00g"
Ayam Bawang,1 bungkus (70 g),320,14g,42g,8g,"2,00g","0,000g"
Mie Rebus,1 bungkus (69 g),300,11g,43g,7g,,"43,00g"
Mie Cina Chow Mein,1 mangkok,237,"13,84g","25,89g","3,77g",198mg,0mg
Mie Gandum,"1 mangkok,masak",192,"2,19g","37,58g","8,5g",253mg,51mg
Mie Urai,1 porsi (140 g),510,2g,103g,21g,0mg,"21,00g"
Mee Goreng,1 porsi (300 g),507,"18,47g","61,8g","23,5g","8,95g","8,696g"
Mie Instan,1 bungkus (140 g),530,16g,85g,12g,,"7,00g"
Bolognese Ramyun,1 sajian per kemasan (140 g),630,24g,90g,14g,,"15,00g"
Japchae,100 gram (g),369,"6,21g","75,22g","0,67g",144mg,0mg
Mie Bakso,1 mangkok,388,"16,62g","40,05g","20,24g","1,73g","7,236g"
Mie Telur Urai,1 porsi (140 g),510,2g,103g,21g,,"21,00g"
Mi Hokkien,1 porsi (350 g),596,"21,4g","61,5g","36,37g",610mg,326mg
Rasa Soto,1 bungkus (75 g),340,14g,46g,9g,,"46,00g"
Mi Goreng Pedas,1 bungkus (79 g),360,13g,52g,8g,"7,00g","0,000g"
Kari Ayam,1 bungkus (72 g),320,12g,45g,7g,,"45,00g"
Kwetiau,100 gram (g),175,"6,37g","23,76g","5,05g",333mg,4mg
Bakmi Jawa,100 g,138,2g,25g,5g,,"1,0g"
Mie Aceh,100 gram (g),116,"3,58g","17,96g","3,34g","1,1g","1,671g"
Bihun Panjang,100 gram (g),84,"0,01g","20,66g","0,04g",4mg,0mg
Mie Ayam,1 mangkok,421,"18,74g","46,21g","16,7g","1,32g","9,298g"
Mie Glosor,100 gram (g),72,"0,86g","15,71g","0,27g",12mg,0mg
Rasa Soto Mie,1 bungkus (70 g),300,10g,46g,7g,1mg,"7,00g"
Mie Goreng,1 bungkus (90 g),400,13g,61g,10g,,"10,00g"
Rasa Ayam Bawang,1 bungkus (69 g),300,11g,43g,7g,,"7,00g"
Bakmi,100 gram (g),169,"4,88g","25,06g","6,34g","1,61g","1,57g"
Mie Telur Kering,1 mangkok,146,"1,69g","27,08g","5,38g","0,71g","0,476g"
Mi Goreng,1 bungkus (80 g),380,12g,52g,8g,0mg,"8,00g"
"Mie Telur (Ditambah, Masak)",1 mangkok,221,"3,31g","40,26g","7,26g","0,64g","0,93g"
Mie,"1 mangkok,masak",219,"3,3g","40,02g","7,22g",378mg,46mg
Mie Gelas Rasa Kari Ayam,1 gelas (28 g),140,4g,18g,2g,,190mg
Mie Selera Pedas Rasa Ayam Pedas Limau,1 bungkus (85 g),390,14g,58g,8g,,"58,00g"
Mi Keriting Goreng Spesial,1 bungkus (90 g),400,15g,56g,10g,,"56,00g"
Korean Spicy Soup,1 bungkus (77 g),350,13g,49g,10g,,"49,00g"
Mie Gelas Rasa Ayam Bawang,1 bungkus (30 g),140,6g,18g,3g,,"1,00g"
Yum Yum,1 porsi (70 g),340,15g,47g,5g,,"4,00g"
Rasa Kaldu Ayam,1 porsi (70 g),300,11g,45g,6g,,"45,00g"
Ayam Bawang,1 bungkus (70 g),340,15g,46g,7g,,"4,0g"
Rasa Ayam Spesial,1 bungkus (75 g),340,14g,47g,7g,,"3,0g"
Bakso Spesial,1 bungkus (77 g),360,17g,42g,9g,,"42,00g"
Rasa Ayam Spesial,1 porsi (75 g),340,14g,46g,7g,,"46,00g"
Chapagetti,1 porsi (56 g),250,9g,38g,5g,"1,00g","0,000g"
Migelas,1 porsi (28 g),120,5g,16g,3g,,"1,00g"
Japchae,1 porsi (420 g),235,"15,7g","13,08g","11,99g",,
Mi Instan Boncabe Rasa Mie Goreng,1 porsi (35 g),130,3g,21g,4g,,"3,0g"
Rainbow Veggie Noodle,1 porsi (76 g),280,1g,60g,8g,,"60,00g"
Korean Spicy Soup Cup,1 cup (75 g),360,16g,45g,7g,,"45,00g"
Rasa Kaldu Ayam,1 bungkus (55 g),240,9g,35g,5g,,"35,00g"
Intermi,1 porsi (60 g),280,12g,38g,5g,,"38,00g"
Bakmi Mewah Rasa Bakmi Goreng Komplit,1 bungkus (110 g),480,17g,72g,11g,,1310mg
Monster,1 porsi (25 g),120,6g,15g,3g,,"1,00g"
Bulgogi Veggie,"1 porsi (76,75 g)",80,0g,20g,0g,,"5,0g"
Sumpia Udang Pedas,1 biji (20 g),100,"4,5g",12g,2g,,115mg
Mie Goreng Ayam Bakar Limau,1 bungkus (89 g),400,14g,61g,8g,,"61,00g"
Kari,1 porsi (79 g),352,"13,8g","49,3g","7,4g",,1319mg
Kuda Menjangan Hofun,100 g,360,"1,5g",76g,12g,,"2,0g"
Konjaqu,1 porsi (78 g),130,"3,5g",23g,0g,"2,00g","0,000g"
Seblak Hot Jeletot,1 serving (75 g),360,17g,44g,7g,,"44,00g"
Mi Instan Konnyaku Goreng Rasa Sapi,1 package (71 g),120,0g,29g,1g,,"29,00g"
Vegan Noodle Rasa Soto,1 porsi (85 g),390,17g,51g,7g,,"6,0g"
Fitmee Ayam Bawang,1 porsi (71 g),30,0g,7g,0g,"1,00g","0,000g"
Mie Sukses Isi 2 Rasa Ayam Geprek,1 bungkus (126 g),600,27g,76g,13g,"6,00g","0,000g"
Mi Rebus Soto,"1 porsi (69,5 g)",40,1g,6g,0g,,"6,00g"
Pop Mie,1 kemasan (39 g),180,9g,22g,4g,0mg,"4,00g"
Mie Gepeng,1 porsi (67 g),300,12g,41g,7g,,
Sarimi Isi 2 Rasa Baso Sapi,1 bungkus (115 g),510,19g,74g,13g,,"3,0g"
Mie Kari Ayam,1 porsi (73 g),300,5g,54g,8g,,"8,00g"
Sup Sayuran,1 bungkus (65 g),290,11g,40g,6g,,"40,00g"
Mie Instan Rasa Baso Sapi,1 bungkus (77 g),360,15g,49g,7g,,"49,00g"
Mi Instan Rasa Pedas Korea,1 sajian (85 g),300,"4,5g",57g,9g,,"9,00g"
Rasa Pangsit Jontor,1 bungkus (75 g),340,15g,45g,7g,,"2,0g"
Gluten Free Kale Noodle,1 porsi (76 g),290,3g,64g,1g,"1,00g","1,500g"
Spix Mi Goreng,1 porsi (9 g),45,"2,5g",6g,1g,,"1,00g"
Mi Batita,1 porsi (25 g),110,4g,16g,3g,,"2,00g"
Spicy Bulgogi Cheese,1 bungkus (85 g),370,16g,50g,7g,,"50,00g"
Sarimi Gelas Rasa Soto Ayam,1 sajian (30 g),140,7g,16g,3g,"2,00g","0,000g"
