nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
High Fiber High Calcium Milk,100 ml,400,"14,4g","59,2g",16g,,
Minuman Asam Jawa,1 kotak (250 ml),140,0g,34g,0g,,"0,00g"
Limun,1 gelas (240 ml),99,"0,1g","25,87g","0,17g",5mg,0mg
Milk Tea,1 tas (20 g),80,2g,14g,2g,,110mg
EXO Chocomalt Coffee,1 porsi (230 ml),170,"4,5g",23g,8g,240mg,"8,00g"
Sari Kacang Ijo,1 kotak (200 ml),110,0g,26g,2g,"20,00g","0,000g"
Indomilk Melon,1 botol (190 ml),130,"4,5g",18g,4g,,"4,00g"
Lychee Lemon,1 takaran saji (250 ml),35,0g,9g,0g,35mg,"0,00g"
Irrish Coffee,1 sachet (23 g),110,4g,17g,1g,,"17,00g"
Collagen Drink,1 porsi (15 g),70,2g,9g,3g,,"1,0g"
Yoguruto Wholesome Original,1 porsi (125 ml),70,"1,5g",12g,2g,,"2,00g"
Pearl Milk Tea,1 cup reguler (500 ml),374,11g,67g,1g,,
Freshtea Beraroma Melati,1/2 kemasan botol (250 g),80,0g,20g,0g,,"18,00g"
Thai Milk Coffee,1 botol (310 ml),210,5g,36g,4g,0mg,"4,00g"
Coca-Cola Classic (Large),1 porsi,380,0g,102g,0g,,"102,00g"
Kombucha,1 botol (470 ml),60,0g,"15,31g",0g,27mg,0mg
Hydro Coco Original,1 pak (250 ml),60,0g,15g,0g,400mg,"0,00g"
Bir Ringan,1 kaleng atau botol (350 ml),103,0g,"5,81g","0,85g",14mg,0mg
I'm Coco,1 botol (350 ml),180,0g,45g,1g,0mg,"1,00g"
Kopi Latte,1 sedang,135,"5,51g","12,36g","8,81g",126mg,20mg
Yakult,1 botol (65 ml),50,0g,11g,1g,,"11,00g"
Thai Milk Tea,1 botol (310 ml),210,6g,36g,3g,,160mg
Cappuccino,1 sachet (25 g),110,"2,5g",21g,1g,"15,00g","0,000g"
Air,1 gelas (240 ml),0,0g,0g,0g,5mg,0mg
"Minuman Buah (Berkonsentrasi Beku, dengan Air)",1 gelas (240 ml),114,0g,"28,8g","0,15g",32mg,0mg
Buko Pandan,1 mangkok,315,"23,3g","26,31g","4,19g",95mg,0mg
Bubble Milk Tea,1 cup reguler (500 ml),160,6g,27g,"0,4g",,"25,00g"
