nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Kacang Almond,1 sajian (27 g),180,15g,3g,8g,0mg,0mg
Almond Soya,3 sdm (45 g),190,4g,29g,9g,,"9,00g"
Almond Milk,100 ml,26,"2,1g","1,5g","0,6g","0,5g","0,400g"
Bagelen Almond,"1 porsi (22,3 g)",120,7g,12g,2g,,"12,00g"
Bites Almond,1 porsi (40 g),230,16g,18g,5g,,"12,00g"
Almond Bites,"1 porsi (17,2 g)",90,"4,5g",10g,2g,,"10,00g"
Almond Milk,100 ml,81,"5,4g",6g,2g,,"6,00g"
Almond Milk,100 ml,16,"1,4g","0,3g","0,6g",36mg,0mg
Almond Flour,2 sendok makan (14 g),80,5g,5g,4g,0mg,0mg
Honey Almond,100 g,574,"47,3g","15,7g","21,4g",12mg,0mg
Almond & Chocolate,1 bar (30 g),160,10g,12g,5g,230mg,"5,00g"
Magnum Almond,1 kemasan (90 ml),250,16g,23g,3g,"4,0g","11,000g"
Almond Milk,1 botol (180 ml),70,6g,1g,2g,,0mg
Kacang Telor,1 serving (30 g),100,7g,7g,3g,,"3,00g"
Almond,1 porsi (20 g),110,7g,9g,3g,,"9,00g"
Udang (Karang) Rebus atau Kukus,100 gram (g),81,"1,19g",0g,"16,63g",0g,"0,242g"
Bacang,1 buah,270,"3,26g","51,35g","7,53g","3,2g","1,493g"
"Taco atau Tostada Salad dengan Daging Sapi, Kacang-kacangan dan Keju dalam Tortilla Goreng Tepung",1 salad,404,"24,94g","27,96g","18,12g","2,95g","12,073g"
"Taco atau Tostada dengan Kacang-kacangan, Keju, Daging, Selada, Tomat dan Salsa",1 taco atau tostada,151,"7,85g","12,54g","8,12g","1,05g","2,895g"
"Salad Hijau Ayam atau Kalkun Oriental (Ayam dan/atau Kalkun, Selada, Buah, Kacang-Kacangan)",1 mangkok,102,"4,76g","5,09g","9,75g","3,09g","1,964g"
"Taco tanpa Daging atau Tostada dengan Kacang-kacangan dan Keju, Selada, Tomat dan Salsa",1 taco atau tostada,144,"6,83g","16,42g","5,29g","1,12g","2,447g"
Udang Karang (Udang),100 gram (g),72,"0,97g",0g,"14,85g",62mg,"0,178g"
"Enchilada dengan Daging Sapi, Kacang-kacangan dan Keju",1 mangkok,383,"19,07g","38,46g","16,95g","4,15g","6,842g"
"Burrito dengan Daging Sapi, Kacang-kacangan dan Keju",1 sedang,628,"32,92g","48,12g","34,32g","1,93g","12,305g"
Kue yang Dibuat dengan Beras Ketan dan Kacang Kering,1 buah,30,"0,05g","6,02g","1,25g","0,28g","0,017g"
Kacang Panjang Hijau,100 gram (g),31,"0,12g","7,13g","1,82g","1,4g","0,005g"
Selai Kacang Mede,100 gram (g),587,"49,41g","27,57g","17,56g","5,01g","29,122g"
Kacang Tawar Sangrai Kering,1 kacang,6,"0,5g","0,22g","0,24g","0,04g","0,246g"
Kacang Campuran Sangrai Kering,1 mangkok,814,"70,49g","34,73g","23,7g","6,36g","43,011g"
Kacang Campuran Sangrai,1 mangkok,886,"80,88g","32,07g","22,35g","6,31g","47,717g"
Kacang Panjang Hijau Bersodium Rendah (Kalengan),1 mangkok,60,"3,85g","6,17g","1,57g","1,3g","1,757g"
"Burrito dengan Ayam, Kacang-kacangan dan Keju",1 sedang,535,"24,89g","43,91g","33,18g","2,62g","8,606g"
Burrito dengan Daging Sapi dan Kacang-kacangan,1 sedang,547,"21,97g","58,12g","28,2g","2,07g","9,864g"
Muffin Buah dan/atau Kacang-Kacangan,1 sedang,313,"7,34g","54,24g","6,22g","22,26g","2,228g"
Kacang Tanah dengan Kulit (Kulit tidak Dimakan),100 gram (g),599,"52,5g","15,26g","28,03g","4,18g","25,936g"
"Chalupa dengan Kacang-kacangan, Keju, Selada dan Tomat",100 gram (g),198,"10,48g","19,67g","6,61g","1,62g","4,773g"
