nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Rainbow Hoops,1 porsi (30 g),120,1g,26g,2g,,"26,00g"
Sereal Granola,1 mangkok,598,"29,72g","64,6g","18,14g",27mg,0mg
Multigrain Cereal Bar,1 bar (20 g),110,3g,14g,2g,,"2,00g"
Koko Krunch Duo,1 cup (30 g),120,1g,25g,2g,,"2,0g"
Rasa Jagung,1 gelas (25 g),130,"2,5g",20g,1g,0mg,"1,00g"
Oreo O’S,1 porsi (30 g),120,"1,5g",25g,1g,45mg,"1,00g"
Oat Milk,1 sachet (24 g),90,2g,16g,3g,"1,00g","0,000g"
Coco Pops,1 porsi (30 g),120,"0,5g",26g,2g,"10,00g","0,100g"
Pro-Milch,1 gelas (40 g),190,10g,21g,6g,,"3,0g"
Energen Kacang Hijau,1 sachet (30 g),130,3g,24g,2g,,"24,00g"
Honey Crunch,1 porsi (30 g),120,1g,25g,2g,"10,00g","0,500g"
Corn Flakes Honey Crunch with Nuts,1 porsi (30 g),120,1g,26g,2g,,"2,00g"
Tropical Fruit & Nuts Toasted Muesli,1 porsi (20 g),100,5g,11g,2g,,"11,00g"
Cocoa Pebbles,1 porsi (36 g),140,"1,5g",31g,2g,,"12,00g"
Corn Flakes,1 cangkir (30 g),110,"0,5g",24g,2g,"3,00g","0,000g"
Fitbar Nuts Delight,1 bar (22 g),90,4g,15g,3g,,"3,00g"
Sereal Rasa Kacang Hijau,1 botol (200 ml),160,4g,28g,3g,,"28,00g"
Fitnesse,1 porsi (30 g),110,0g,23g,3g,,
Sereal Coklat,1 sachet (29 g),150,3g,23g,1g,,"23,00g"
Nestum Manis,5 sendok (30 g),120,"0,5g",25g,2g,,"25,00g"
Oreo Cereal,1 porsi (40 g),160,2g,34g,1g,,"17,00g"
Rasa Kacang Hijau,1 sachet (35 g),150,"3,5g",27g,3g,,"27,00g"
Oatmeal Instan,"1 mangkok,masak",213,"2,81g","42,63g","5,76g",285mg,0mg
Mueslix Harvest Fruit,1 porsi (45 g),180,"3,5g",32g,5g,"9,00g","1,500g"
Energen Rasa Vanila,1 gelas (29 g),140,"3,5g",23g,1g,,"1,00g"
Sereal,1 cangkir (32 g),80,"0,5g",17g,2g,,"5,00g"
Honey Stars,1 gelas (32 g),130,"0,5g",16g,1g,,"16,00g"
Koko Krunch (15g),1 bedak wangi (15 g),60,"0,5g",12g,1g,,"5,00g"
Sereal Milo,1 porsi (32 g),140,"0,5g",17g,2g,,"5,00g"
Corn Flakes,1 mangkok (1 porsi),101,"0,03g","24,28g","1,88g",266mg,0mg
Overnight Oat,1 mangkok,410,"9,36g","62,27g","20,27g",90mg,13mg
Froot Loops,1 gelas (30 g),120,"0,5g",26g,2g,"11,00g","0,000g"
