nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Blueberry Choco Chunk,100 ml,160,7g,22g,2g,,"13,00g"
Es Krim Jagung,1 porsi (52 g),80,"3,5g",11g,1g,0mg,"1,00g"
Paddle Pop Monkey Banana,1 porsi (42 g),60,1g,12g,0g,,"12,00g"
Choco Melt,100 ml,210,16g,15g,3g,,"3,00g"
Waku Waku Happy Soda,1 porsi (60 ml),90,"2,5g",17g,1g,,15mg
Es Krim Rasa Taro,1 bungkus (45 g),80,3g,11g,2g,0mg,"2,00g"
Miki-Miki,1 batang (30 g),110,7g,9g,1g,,10mg
Cornetto Love Daifuku,1 porsi (135 ml),210,7g,33g,2g,55mg,"1,500g"
Strawberry Cheesecake,100 ml,100,"3,5g",16g,2g,,"2,00g"
Cornetto Unicorn,1 cone (134 ml),200,7g,31g,2g,,"31,00g"
Frost Bite Strawberry Sundae,1 gelas (90 g),120,"3,5g",19g,1g,,"1,00g"
Chocolate,1 porsi (40 ml),45,2g,6g,1g,,"5,00g"
Populaire,100 ml,80,"2,5g",13g,1g,,"13,00g"
Selection Oreo,100 ml,140,7g,17g,2g,,"11,00g"
Cone Es Krim Coklat,1 kerucut dan celup tunggal (atau 1 kerucut kecil),173,"7,43g","24,77g","3,18g",45mg,18mg
Es Krim Sandwich,"1 sandwich (13 cm x 4,5 cm x 2 cm)",143,"5,6g","21,75g","2,61g",37mg,20mg
McFlurry - Choco,1 sendok makan (285 g),245,"5,09g",45g,5g,"0,00g","0,000g"
Strawberry Sundae,1 porsi,291,"5,77g",56g,4g,,
Paddle Pop Choco Magma,1 stick (50 g),70,"2,5g",12g,1g,,"1,00g"
Neapolitan,100 ml,140,5g,20g,2g,,"13,00g"
2 in 1 Chocolate & Vanilla with Chocolate Chip,100 ml,120,6g,14g,2g,,"14,00g"
Paddle Pop Trico,1 buah (60 ml),50,0g,13g,0g,"11,00g","0,000g"
Cornetto Silverqueen,1 porsi (108 ml),240,11g,31g,4g,65mg,"2,500g"
Feast Vanilla,1 batang (65 ml),140,9g,13g,2g,"8,00g","3,000g"
Cornetto Mini,1 porsi (28 ml),70,"3,5g",9g,1g,,"1,0g"
3 in 1 Neopolitana,100 ml,90,3g,14g,1g,,"1,0g"
Feast Coklat,1 buah (65 ml),150,10g,14g,2g,"8,00g","2,000g"
Cornetto Black & White,1 cone (80 ml),140,5g,20g,2g,,"20,00g"
McFlurry - Oreo,1 porsi (285 g),520,17g,80g,12g,,"12,00g"
Es Krim Batang Lapis Coklat,1 batang (90 ml),171,"12,5g","14,36g","1,66g",36mg,20mg
Paddle Pop Rainbow Power,1 porsi (55 ml),70,"2,5g",12g,1g,,"12,00g"
Cone Es Krim,1 kerucut dan celup tunggal (atau 1 kerucut kecil),170,"7,91g","22,82g","3,06g",55mg,25mg
Es Krim Stroberi,1 individu (105 ml),111,"4,87g","16,01g","1,86g",,"16,01g"
Es Krim,1 mangkok,267,"14,26g","32,45g","4,68g",98mg,53mg
Es Krim,100 ml,100,"3,5g",13g,1g,,20mg
Es Krim Coklat,1 mangkok,287,"14,63g","37,51g","5,05g",101mg,45mg
Es Krim Vanila,1/2 mangkok,145,"7,92g","16,99g","2,52g",58mg,32mg
Selection Double Dutch,100 ml,120,"4,5g",18g,2g,,45mg
Happy Cow Malt Blast,100 ml,140,8g,16g,2g,,22mg
Coffee Crispy,1 bungkus (45 g),140,8g,15g,1g,"8,00g","0,000g"
