nama,porsi,kalori,lemak,karbs,protein,sodium,kolesterol
Daging Dada dan Kulit Ayam (Ayam Pedaging),"1/2 dada, tulang dihilangkan (hasil dari 450 g-ayam siap untuk dimasak )",150.0,"8,05g",0g,"18,14g",0mg,"1,705mg"
Kaldu Ayam,1 gelas (240 ml),12.0,"0,29g","1,51g","0,95g",24mg,"0,122mg"
Jantung Ayam,100 gram (g),153.0,"9,33g","0,71g","15,55g",74mg,"2,37mg"
Ayam (Dilapisi Tepung Roti dan Digoreng),4 buah,190.0,"12,04g","10,44g","9,98g","0,56mg","5,105mg"
Telur Goreng,1 besar,89.0,"6,76g","0,43g","6,24g","0,38mg","2,754mg"
Lele Goreng,100 gram (g),105.0,"2,85g",0g,"18,47g",50mg,"1,099mg"
Leher Ayam,100 gram (g),297.0,"26,24g",0g,"14,07g",64mg,"10,55mg"
Hati Ayam,100 gram (g),116.0,"4,83g",0g,"16,92g",0mg,"0,819mg"
Kulit Ayam,100 gram (g),454.0,"40,68g",0g,"20,36g",0mg,"17,03mg"
Ikan dan Ayam Sambal Kecombrang With Nasi Goreng Kecombrang,1 porsi,455.0,11g,48g,41g,0mg,"6,0mg"
Yum Yum Mi Goreng Rasa Ayam Panggang Pedas Thailand,1 bungkus (70 g),330.0,14g,45g,5g,0mg,"45,00mg"
Tahu Goreng,1 buah,35.0,"2,62g","1,36g","2,23g","0,35mg","0,579mg"
Puass Mi Goreng Rasa Fried Chicken Ayam Krispi,100 g,470.0,20g,65g,8g,0mg,"8,00mg"
Ikan & Ayam Sambal Kecombrang With Nasi Goreng Kecombrang,1 porsi,455.0,11g,48g,41g,0mg,"6,0mg"
Isi 2 Mi Goreng Rasa Ayam Kecap,1 porsi (126 g),560.0,24g,77g,10g,0mg,"77,00mg"
Isi 2 Mi Goreng Rasa Ayam Kremes,1 bungkus (125 g),560.0,23g,79g,10g,0mg,"10,00mg"
Nasi Yummy Ayam Goreng Saus Mentega,1 porsi (260 g),400.0,12g,64g,10g,0mg,0mg
Mi Goreng Rasa Ayam Panggang Jumbo,1 bungkus (127 g),570.0,25g,75g,14g,0mg,"14,00mg"
Mie Goreng Rasa Ayam Panggang Kecap,1 bungkus (90 g),420.0,18g,57g,8g,0mg,"3,0mg"
Mi Goreng Rasa Mi Ayam Istimewa,100 g,420.0,16g,62g,7g,0mg,"7,00mg"
Tepung Bumbu Ayam Goreng ala Korea,1 takaran saji (35 g),120.0,0g,26g,4g,0mg,"26,00mg"
Ayam Betutu with Nasi Goreng Bali,1 porsi,460.0,12g,47g,41g,0mg,"6,0mg"
Mie Goreng Ayam Bakar Limau,1 bungkus (89 g),400.0,14g,61g,8g,0mg,"8,00mg"
Ripik Hijau Rasa Ayam Goreng,1 bungkus (3 g),20.0,2g,1g,0g,25mg,0mg
Bumbu Nasi Goreng Ayam Spesial,1 porsi (5 g),10.0,0g,2g,0g,0mg,"2,00mg"
Mie Goreng Rasa Ayam Kecap,1 bungkus (126 g),580.0,24g,79g,12g,0mg,"12,00mg"
Mie Goreng Rasa Ayam Pop,1 bungkus (85 g),390.0,15g,55g,7g,0mg,"7,00mg"
Sayap Ayam dengan Kulit Panggang atau Goreng (Kulit/Lapisan Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",137.0,"9,16g","4,64g","8,45g","0,1mg","3,732mg"
Mie Goreng Ayam Pangsit,1 bungkus (110 g),510.0,21g,70g,10g,0mg,"10,00mg"
Mie Goreng Ayam Krispi,1 bungkus (88 g),400.0,15g,58g,8g,930mg,0mg
Bumbu Racik Ayam Goreng,1 porsi (5 g),10.0,0g,2g,0g,0mg,"2,00mg"
Ayam Goreng Mcd Spicy,100 g,273.0,"16,8g","9,9g",19g,0mg,"0,00mg"
Bumbu Ayam Goreng Bacem,1 potong (15 g),40.0,0g,9g,0g,0mg,0mg
Nori Rasa Ayam Goreng,1 porsi (4 g),30.0,"2,5g",1g,1g,35mg,0mg
Bumbu Ayam Goreng Lengkuas,1 bungkus (90 g),190.0,15g,11g,2g,0mg,0mg
Mi Goreng Ayam Geprek,1 bungkus (85 g),410.0,20g,49g,9g,900mg,0mg
Paha Ayam Panggang atau Goreng dengan Kulit (Kulit/Lapisan Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",211.0,"12,58g","7,49g","16,03g","0,17mg","5,312mg"
Dada Ayam Goreng Ada Lapisan (Kulit tidak Dimakan),"1/2 kecil (hasil setelah masak, tulang dan kulit dihilangkan)",138.0,"3,51g",0g,"25,01g",0mg,"1,292mg"
Ayam Goreng Mcd - Regular,100 g,223.0,"11,9g","9,1g","18,9g",0mg,1000mg
Dada Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1/2 kecil (hasil setelah masak, tulang dihilangkan)",181.0,"7,64g",0g,"26,6g",0mg,"3,009mg"
Kulit Ayam Goreng,100 g,550.0,39g,37g,12g,0mg,"2,00mg"
Piattos Ayam Goreng,1 takaran (20 g),100.0,"4,5g",14g,1g,160mg,0mg
Sayap Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",89.0,"6,33g",0g,"7,56g",0mg,"2,504mg"
Paha Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 sedang (hasil setelah masak, tulang dihilangkan)",119.0,"6,79g",0g,"13,6g",0mg,"2,67mg"
Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 irisan tipis (sekitar 5 cm x 4 cm x 0,3 cm)",18.0,"1,07g",0g,2g,0mg,"0,427mg"
Ayam Goreng Kalasan,"1 porsi (13,7 g)",50.0,"1,5g",9g,1g,750mg,0mg
Ayam Goreng Belacan,1 porsi (5 g),15.0,0g,3g,1g,400mg,0mg
Bihun Goreng Ayam,1 porsi (150 g),455.0,"17,04g","54,79g","17,73g",0mg,"54,79mg"
Bumbu Ayam Goreng,"1 porsi (8,3 g)",15.0,"0,5g",1g,1g,0mg,"1,00mg"
Kaki Ayam Goreng tanpa Pelapis (Kulit Dimakan),"1 kecil (hasil setelah masak, tulang dihilangkan)",230.0,"13,6g",0g,"25,13g",0mg,"5,339mg"
Dada Ayam Panggang atau Goreng Dilapisi Kulit,"1/2 kecil (hasil setelah masak, tulang dihilangkan)",313.0,"15,92g","11,38g","29,36g","0,26mg","6,628mg"
