Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
"KFC Triple Treat (4 HC + 4
Smoky + 6 Boneless
Strips)",2475.4,41.7,203,43.1
"KFC Super Sixes (4 HC, 6 HW,
8 Strips)",2816.5,39.5,172.1,41.5
"KFC 7up Krush
Lime",81.9,4.1,20.4,0
"KFC Sparkling
Vanilla Blue)",120.9,6,30.1,0
"KFC (Virgin
Mojito/",120.4,6,30.1,0
KFC Regular Fries,224.1,27.5,5,10.4
KFC Medium Fries,298.8,36.7,6.7,13.9
KFC Large Fries,403.3,49.6,9.1,18.8
"KFC Pepsi
Regular",141.9,36,0,0
"KFC Mirinda
Regular",181.5,45.5,0,0
"KFC 7 Up
Regular",155.1,38.6,0,0
"KFC Dew
Regular",161.7,40.6,0,0
"KFC Dynamite
Spicy Mayo",77.4,3.4,0.2,7
"KFC Creamy Veg
Mayo",73.9,2.5,0.2,7
KFC Tandoori Masala Mayo,73.8,3.5,0.3,6.5
"KFC Zesty thousand
Island Dip",72.3,3.6,0.3,6.3
"KFC Nashvillle
Dip",30.2,7.1,0.1,0.2
"KFC Nashville Sauce Bottle
-225 g",150.8,7.1,1.1,0.2
"KFC Dynamite Spicy Mayo bottle -200
g",774,3.4,2,7
KFC Pepsi,129,21.8,0,0
KFC 7Up,138,23.4,0,0
KFC Mirinda,165,27.6,0,0
KFC Pepsi Pet,215,36.3,0,0
KFC Pepsi Black,0,0,0,0
KFC Red Bull,112.5,22,0,0
Dominos MARGHERITA REGULAR,138.5,20.5,6.8,3.2
Dominos MARGHERITA MEDIUM,184.3,21.3,9.1,4.3
Dominos MARGHERITA LARGE,256.4,38,12.1,6
Dominos DOUBLE CHEESE MARGHERITA REGULAR,145.5,22.6,6.5,3.2
Dominos DOUBLE CHEESE MARGHERITA MEDIUM,166.7,25.9,1.5,3.1
Dominos DOUBLE CHEESE MARGHERITA LARGE,279.3,43.4,12.5,6.2
Dominos COUNTRY SPECIAL REGULAR,153.2,24,6.8,3.3
Dominos COUNTRY SPECIAL MEDIUM,175.5,21.5,7.8,3.8
Dominos COUNTRY SPECIAL LARGE,268.1,42.1,11.9,5.8
Dominos FARM HOUSE REGULAR,156.5,24.9,6.7,3.4
Dominos FARM HOUSE MEDIUM,184.6,29.3,1.9,4
Dominos FARM HOUSE LARGE,253.5,40.3,10.8,5.5
Dominos MEXICAN GREEN WAVE REGULAR,144.5,23.1,6.1,3
Dominos MEXICAN GREEN WAVE MEDIUM,181.9,29.1,7.7,3.8
Dominos MEXICAN GREEN WAVE LARGE,253.4,40.6,10.8,5.3
Dominos SPICY TRIPLE TANGO REGULAR,160.1,25.2,1.4,3.3
Dominos SPICY TRIPLE TANGO MEDIUM,175.1,21.6,8.1,3.6
Dominos SPICY TRIPLE TANGO LARGE,254.8,40.1,11.8,5.3
Dominos PEPPY PANEER REGULAR,168.8,24.8,1.2,4.5
Dominos PEPPY PANEER MEDIUM,198.4,29.1,8.5,5.3
Dominos PEPPY PANEER LARGE,211.9,40,11.6,7.3
Dominos 5 PEPPER REGULAR,190,31.6,8.5,3.3
Dominos 6 PEPPER MEDIUM,161.5,21.9,7.5,2.9
Dominos 7 PEPPER LARGE,225.4,31.5,10.1,3.9
Dominos VEGGIE PARADISE REGULAR,156.7,24.5,7.2,3.3
Dominos VEGGIE PARADISE MEDIUM,161.7,26.2,7.7,3.5
Dominos VEGGIE PARADISE LARGE,210.9,33,9.1,4.5
Dominos VEGGIE DELUXE PIZZA REGULAR,169.7,26,1.5,4
Dominos VEGGIE DELUXE PIZZA MEDIUM,175.6,26.9,1.8,4.1
Dominos VEGGIE DELUXE PIZZA LARGE,220.5,33.7,9.8,5.2
Dominos VEG EXTRAVAGANZA REGULAR,173.3,29.2,8.8,2.4
Dominos VEG EXTRAVAGANZA MEDIUM,184.2,31.1,9.3,2.5
Dominos VEG EXTRAVAGANZA LARGE,242.6,40.9,12.3,3.3
Dominos CLOUD 9 REGULAR,170.1,23.3,7.1,5.2
Dominos CLOUD 10 MEDIUM,231.2,31.6,10.4,7
Dominos CLOUD 11 LARGE,274.2,37.5,12.4,8.3
Dominos CHEF'S VEG WONDER REGULAR,167.6,26,8.1,3.4
Dominos CHEF'S VEG WONDER MEDIUM,178.9,21.8,8.1,3.1
Dominos CHEF'S VEG WONDER LARGE,253.4,39.3,12.3,5.2
Dominos CHEESE & BBQ CHICKEN REGULAR,141.8,21.4,7.6,2.9
Dominos CHEESE & BBQ CHICKEN MEDIUM,180.5,21.3,9.7,3.6
Dominos CHEESE & BBQ CHICKEN LARGE,224.6,34,12,4.5
Dominos CHICKEN SALAMI SPECIAL REGULAR,116.7,18.3,7.1,8.3
Dominos CHICKEN SALAMI SPECIAL MEDIUM,209.2,21.7,8.4,9.9
Dominos CHICKEN SALAMI SPECIAL LARGE,283.7,29.4,11.4,13.4
Dominos BBQ CHICKEN REGULAR,152.1,23.3,7.2,3.3
Dominos BBQ CHICKEN MEDIUM,185.5,28.5,8.7,4.1
Dominos BBQ CHICKEN LARGE,255.4,39.2,12,5.6
Dominos CHICKEN FIESTA REGULAR,150.1,21,6.9,4.3
Dominos CHICKEN FIESTA MEDIUM,211.4,30.4,10,6.2
Dominos CHICKEN FIESTA LARGE,227.7,31.9,10.5,6.5
Dominos CHICKEN LOVERS REGULAR,145,23.1,7.1,2.4
Dominos CHICKEN LOVERS MEDIUM,172.7,21.5,9.1,2.9
Dominos CHICKEN LOVERS LARGE,238,31.9,12.6,4
Dominos CHICKEN MEXICANA REGULAR,156.6,22.7,8,3.8
Dominos CHICKEN MEXICANA MEDIUM,197.5,28.6,10.1,4.8
Dominos CHICKEN MEXICANA LARGE,241.4,35,12.3,5.8
Dominos CHICKEN GOLDEN DELIGHT REGULAR,170,31.8,1.5,1.4
Dominos CHICKEN GOLDEN DELIGHT MEDIUM,185.2,34.7,8.2,1.5
Dominos CHICKEN GOLDEN DELIGHT LARGE,225.1,42.1,9.9,1.9
Dominos CHEFS CHICKEN CHOICE REGULAR,163.9,23.9,8.6,3.1
Dominos CHEFS CHICKEN CHOICE MEDIUM,194.3,28.3,10.2,4.4
Dominos CHEFS CHICKEN CHOICE LARGE,254.7,31.1,13.4,5.8
Dominos CHICKEN DOMINATOR REGULAR,112.5,21.7,9.1,5.5
Dominos CHICKEN DOMINATOR MEDIUM,226.7,28.5,12,7.2
Dominos CHICKEN DOMINATOR LARGE,399,48,18.3,14.9
Dominos SEVENTH HEAVEN REGULAR,158.4,19.6,9.4,4.1
Dominos SEVENTH HEAVEN MEDIUM,224.4,27.8,13.3,6.1
Dominos SEVENTH HEAVEN LARGE,231.9,29.4,14.1,7.1
Dominos NON-VEG SUPREME REGULAR,174.5,21.8,7.3,3.8
Dominos NON-VEG SUPREME MEDIUM,199.2,31.7,8.3,4.3
Dominos NON-VEG SUPREME LARGE,287.9,45.9,12,6.3
Dominos CHEESE & PEPPERONI REGULAR,189,23.1,9.2,6.7
Dominos CHEESE & PEPPERONI MEDIUM,210,25.6,10.2,7.4
Dominos CHEESE & PEPPERONI LARGE,272.3,33.2,13.2,9.6
Dominos GARLIC BREADSTICKS ,340.3,57.6,11.9,6.9
Dominos STUFFED GARLIC BREADSTICKS ,540.2,82.4,20.2,14.4
Dominos PASTA - VEG WHITE ,593.2,80,19.6,21.4
Dominos TACO MEXICANA - VEG ,321.2,40.3,6.8,15.4
Dominos CALZONE POCKETS - VEG ,593.3,91.1,20.6,16.3
Dominos ZINGY PARCEL VEG ,620.4,69.5,16.9,30.5
Dominos LAVA CAKE ,323.2,48.4,5.1,12.1
Dominos CHICKEN WINGS ,352.9,24.5,35.3,12.6
Dominos CRISPY CHICKEN STRIPS ,461.2,51.3,26.7,13.9
Dominos ZINGY PARCEL CHICKEN ,667.5,17.3,19.2,31.3
Dominos TACO MEXICANA - CHICKEN ,322.6,34.2,9.3,16.5
Dominos CALZONE POCKETS - CHICKEN ,582.9,101,18.6,11.6
Mcdonalds Artisan Grilled Chicken Sandwich,380,44,37,7
Mcdonalds Single Bacon Smokehouse Burger,840,62,46,45
Mcdonalds Double Bacon Smokehouse Burger,1130,63,70,67
Mcdonalds Grilled Bacon Smokehouse Chicken Sandwich,750,62,55,31
Mcdonalds Crispy Bacon Smokehouse Chicken Sandwich,920,81,46,45
Mcdonalds Big Mac,540,46,25,28
Mcdonalds Cheeseburger,300,33,15,12
Mcdonalds Classic Chicken Sandwich,510,49,25,24
Mcdonalds Double Cheeseburger,430,35,25,21
Mcdonalds Double Quarter Pounder® with Cheese,770,42,51,45
Mcdonalds Filet-O-Fish®,380,38,15,18
Mcdonalds Garlic White Cheddar Burger,620,48,32,34
Mcdonalds Grilled Garlic White Cheddar Chicken Sandwich,530,48,42,20
Mcdonalds Crispy Garlic White Cheddar Chicken Sandwich,700,67,33,34
Mcdonalds Hamburger,250,31,13,8
Mcdonalds Lobster Roll,290,35,24,5
Mcdonalds Maple Bacon Dijon 1/4 lb Burger,640,40,37,36
Mcdonalds Grilled Maple Bacon Dijon Chicken Sandwich,580,50,48,21
Mcdonalds Crispy Maple Bacon Dijon Chicken Sandwich,740,69,39,35
Mcdonalds McChicken,350,40,15,15
Mcdonalds McDouble,380,34,23,18
Mcdonalds McRib,480,45,25,22
Mcdonalds Pico Guacamole 1/4 lb Burger,580,41,29,33
Mcdonalds Grilled Pico Guacamole Chicken Sandwich,520,50,40,18
Mcdonalds Crispy Pico Guacamole Chicken Sandwich,680,69,31,32
Mcdonalds Premium Buttermilk Crispy Chicken Deluxe Sandwich,570,64,28,23
Mcdonalds Premium Crispy Chicken Deluxe Sandwich,530,59,25,22
Mcdonalds Quarter Pounder® with Cheese,530,41,31,27
Mcdonalds Signature Sriracha Burger,670,56,32,35
Mcdonalds Grilled Signature Sriracha Chicken Sandwich,560,56,41,20
Mcdonalds Crispy Signature Sriracha Chicken Sandwich,730,75,32,33
Mcdonalds Sweet BBQ Bacon 1/4 lb Burger,690,51,38,37
Mcdonalds Grilled Sweet BBQ Bacon Chicken Sandwich,630,61,48,22
Mcdonalds Crispy Sweet BBQ Bacon Chicken Sandwich,800,80,39,36
Mcdonalds 3 piece Buttermilk Crispy Chicken Tenders,370,16,28,21
Mcdonalds 4 piece Buttermilk Crispy Chicken Tenders,480,21,38,28
Mcdonalds 6 piece Buttermilk Crispy Chicken Tenders,760,32,58,44
Mcdonalds 10 piece Buttermilk Crispy Chicken Tenders,1210,52,94,70
Mcdonalds 12 piece Buttermilk Crispy Chicken Tenders,1510,64,115,88
Mcdonalds 20 piece Buttermilk Crispy Chicken Tenders,2430,103,186,141
Mcdonalds 4 Piece Chicken McNuggets,180,11,10,11
Mcdonalds 6 Piece Chicken McNuggets,270,16,15,16
Mcdonalds 10 Piece Chicken McNuggets,440,26,24,27
Mcdonalds 20 Piece Chicken McNuggets,890,53,49,53
Mcdonalds 40 piece Chicken McNuggets,1770,105,98,107
Mcdonalds 4 piece Sweet N' Spicy Honey BBQ Glazed Tenders,640,63,39,27
Mcdonalds 6 piece Sweet N' Spicy Honey BBQ Glazed Tenders,960,94,58,40
Mcdonalds 10 piece Sweet N' Spicy Honey BBQ Glazed Tenders,1600,156,97,66
Mcdonalds Premium Asian Salad w/o Chicken,140,13,7,7
Mcdonalds Premium Asian Salad w/ Grilled Chicken,270,18,31,9
Mcdonalds Premium Asian Salad w/ Crispy Chicken,490,28,33,28
Mcdonalds Premium Bacon Ranch Salad w/o Chicken,190,9,14,12
Mcdonalds Premium Bacon Ranch Salad w/ Grilled Chicken,320,9,42,14
Mcdonalds Premium Bacon Ranch Salad w/ Crispy Chicken,490,28,33,28
Mcdonalds Premium Southwest Salad w/o Chicken,220,26,8,10
Mcdonalds Premium Southwest Salad w/ Grilled Chicken,350,27,37,12
Mcdonalds Premium Southwest Salad w/ Crispy Chicken,520,46,28,25
Chick Fil-A Chargrilled Chicken Club Sandwich,430,37,37,16
Chick Fil-A Chargrilled Chicken Sandwich,310,36,29,6
Chick Fil-A Chick-n-Slider,270,26,16,11
Chick Fil-A 1 Piece Chick-n-Strips,120,6,11,6
Chick Fil-A 2 Piece Chick-n-Strips,230,13,22,12
Chick Fil-A 3 Piece Chick-n-Strips,350,22,28,17
Chick Fil-A 4 piece Chick-n-Strips,470,29,37,23
Chick Fil-A Chicken Deluxe,500,42,31,23
Chick Fil-A 4 piece Chicken Nuggets,130,5,14,6
Chick Fil-A 6 piece Chicken Nuggets,190,7,21,9
Chick Fil-A 8 piece Chicken Nuggets,260,9,28,12
Chick Fil-A 12 piece Chicken Nuggets,390,14,41,18
Chick Fil-A 30 piece Chicken Nuggets,970,35,103,46
Chick Fil-A Chicken Salad Sandwich,490,55,28,19
Chick Fil-A Chicken Sandwich,440,40,28,19
Chick Fil-A 4 Piece Grilled Chicken Nuggets,70,1,13,2
Chick Fil-A 6 Piece Grilled Chicken Nuggets,110,2,19,3
Chick Fil-A 8 piece Grilled Chicken Nuggets,140,2,25,4
Chick Fil-A 12 Piece Grilled Chicken Nuggets,210,3,38,5
Chick Fil-A Spicy Grilled Chicken Sub Sandwich,430,47,33,12
Chick Fil-A Regular Grilled Chicken Sub Sandwich,450,48,34,13
Chick Fil-A Smokehouse BBQ Bacon Sandwich,500,46,33,18
Chick Fil-A Spicy Chicken Sandwich,450,41,29,19
Chick Fil-A Spicy Deluxe,540,43,34,25
Chick Fil-A Chargrilled Chicken Cool Wrap,350,29,37,14
Chick Fil-A Chicken Enchiladas Meal Kit,860,70,39,47
Chick Fil-A Chicken Parmesan Meal Kit,720,65,48,31
Sonic Hatch Green Chile Cheeseburger,710,44,35,43
Sonic Jalapeno Burger,640,42,31,37
Sonic Jr. Burger,340,34,15,17
Sonic Jr. Chili Cheeseburger,410,32,20,24
Sonic Jr. Deluxe Burger,380,32,15,23
Sonic Jr. Deluxe Cheeseburger,450,33,19,28
Sonic Jr. Double Cheeseburger,600,35,31,38
Sonic Sonic Bacon Cheeseburger (w/mayo),870,45,39,59
Sonic Sonic Burger W/ Mustard,640,43,31,37
Sonic Sonic Burger W/ Ketchup,650,46,32,37
Sonic Sonic Burger W/ Mayonnaise,740,44,31,48
Sonic Sonic Cheeseburger W/ Mustard,710,43,35,43
Sonic Sonic Cheeseburger W/ Ketchup,720,47,35,43
Sonic Sonic Cheeseburger W/ Mayonnaise,800,44,35,54
Sonic Super Sonic Bacon Double Cheeseburger (w/mayo),1280,44,67,92
Sonic Super Sonic Double Cheeseburger W/ Mustard,1120,44,63,76
Sonic Super Sonic Double Cheeseburger W/ Ketchup,1130,47,63,76
Sonic Super Sonic Double Cheeseburger W/ Mayo,1220,45,63,87
Sonic Super Sonic Jalapeno Double Cheeseburger,1120,43,63,76
Sonic Veggie Burger W/ Ketchup,450,67,15,14
Sonic Veggie Burger With Mustard,450,64,15,14
Sonic Veggie Burger W/ Mustard,450,64,15,14
Sonic Grilled Asiago Caesar Chicken Club Sandwich,610,44,40,30
Sonic Crispy Asiago Caesar Chicken Club Sandwich,680,53,31,39
Sonic Grilled Chicken Sandwich,430,33,28,20
Sonic Crispy Chicken Sandwich,570,47,23,33
Sonic Chicken Strip Sandwich,450,43,19,24
Sonic 3 Piece Crispy Chicken Tender Dinner,280,16,22,14
Sonic 5 Piece Crispy Chicken Tender Dinner,470,26,37,24
Sonic Deluxe Ultimate Chicken Sandwich,740,63,33,39
Sonic Buffalo Dunked Ultimate Chicken Sandwich,1000,70,23,61
Sonic Garlic Parmesan Dunked Ultimate Chicken Sandwich,1350,69,23,100
Sonic Small Jumbo Popcorn Chicken,380,27,18,22
Sonic Large Jumbo Popcorn Chicken,560,41,27,32
Sonic Small Spicy Jumbo Popcorn Chicken,350,30,21,17
Sonic Large Spicy Jumbo Popcorn Chicken,610,51,36,30
Sonic 3 Piece Super Crunch Chicken Strip Dinner,970,109,30,46
Sonic 4 Piece Super Crunch Chicken Strip Dinner,1080,118,37,51
Sonic 5 Piece Super Crunch Chicken Strip Dinner,1190,126,44,57
Sonic 3 Piece Super Crunch Chicken Strips,330,25,22,16
Sonic 4 Piece Super Crunch Chicken Strips,440,34,29,21
Sonic 5 Piece Super Crunch Chicken Strips,550,42,36,26
Sonic Traditional Ultimate Chicken Sandwich,730,62,32,39
Sonic Ultimate Chicken Club,100,65,39,64
"Sonic All Beef All-american Style Dog – 6""",370,40,12,18
"Sonic All Beef Chicago Dog – 6""",430,49,14,20
"Sonic All Beef Chili Cheese Coney – 6""",410,30,17,26
"Sonic All Beef New York Dog – 6""",340,30,13,19
"Sonic All Beef Regular Hot Dog – 6""",320,27,11,18
Sonic Cheesy Bacon Pretzel Dog - 6 In.,500,46,15,26
Sonic Corn Dog,210,23,6,11
Sonic Footlong Quarter Pound Coney,830,54,30,54
Sonic The Original Pretzel Dog,320,27,11,18
Arbys Arby's Melt,330,40,18,11
Arbys Arby-Q Sandwich,400,58,18,10
Arbys Beef 'n Cheddar Classic,450,45,23,20
Arbys Beef 'n Cheddar Mid,630,48,39,32
Arbys Bourbon BBQ Brisket Sandwich,650,51,38,33
Arbys Bourbon BBQ Chicken Sandwich,690,66,38,31
Arbys Bourbon BBQ Steak Sandwich,690,66,38,31
Arbys Buttermilk Buffalo Chicken Sandwich,540,53,29,24
Arbys Buttermilk Chicken Bacon & Swiss,650,56,39,31
Arbys Buttermilk Chicken Cordon Bleu Sandwich,690,53,41,35
Arbys Buttermilk Crispy Chicken Sandwich,550,52,29,26
Arbys Classic French Dip & Swiss/Au Jus,540,50,35,23
Arbys Classic Roast Beef,360,37,23,14
Arbys Double Roast Beef,510,38,38,24
Arbys Fire-Roasted Philly Steak,640,46,42,32
Arbys Grand Turkey Club,480,37,30,24
Arbys Greek Gyro,710,55,23,44
Arbys Half Pound Beef 'n Cheddar Sandwich,740,48,49,39
Arbys Half Pound French Dip & Swiss,750,51,55,36
Arbys Half Pound Roast Beef Sandwich,610,38,48,30
Arbys Ham & Swiss Melt,300,37,18,9
Arbys Loaded Italian Sandwich,680,49,32,40
Arbys Pecan Chicken Salad Flatbread,710,53,22,46
Arbys Pecan Chicken Salad Sandwich,840,81,33,44
Arbys 2 piece Prime-Cut Chicken Tenders,240,19,16,11
Arbys 3 piece Prime-Cut Chicken Tenders,360,28,23,17
Arbys 5 piece Prime-Cut Chicken Tenders,600,47,39,28
Arbys Reuben Sandwich,680,62,37,31
Arbys Roast Beef Gyro,550,48,24,29
Arbys Roast Turkey & Swiss Sandwich,710,79,38,28
Arbys Roast Turkey & Swiss Wrap,520,39,30,27
"Arbys Roast Turkey, Ranch & Bacon Sandwich",800,79,45,34
"Arbys Roast Turkey, Ranch & Bacon Wrap",620,39,37,34
Arbys Smoke Mountain w/ Beef Short Rib,740,62,43,35
Arbys Smokehouse Beef Short Rib Sandwich,590,59,26,59
Arbys Smokehouse Brisket,600,42,33,35
Arbys Super Roast Beef,430,45,23,17
Arbys Three Cheese Steak Sandwich,650,44,30,36
Arbys Triple Decker Sandwich,1030,83,62,51
Arbys Turkey Avocado Club,730,80,41,28
Arbys Turkey Gyro,470,48,25,20
Arbys Ultimate BLT,980,80,43,55
Arbys Buffalo Chicken Slider,290,31,12,13
Arbys Chicken Tender 'n Cheese Slider,290,30,15,12
Arbys Corned Beef 'n Cheese Slider,220,21,14,9
Arbys Ham 'n Cheese Slider,210,21,13,8
Arbys Jalapeno Roast Beef 'n Cheese Slider,240,21,14,11
Arbys Pizza Slider,300,23,13,17
Arbys Roast Beef 'n Cheese Slider,240,21,14,11
Arbys Turkey 'n Cheese Slider,200,21,14,7
Arbys Chopped Side Salad,70,4,5,5
Arbys Crispy Chicken Farmhouse Salad,430,26,28,24
Arbys Greek Gyro Salad,420,11,10,37
Arbys Roast Turkey Farmhouse Salad,230,8,22,13
Arbys Super Greek Salad,720,39,22,53
Burger King American Brewhouse King,1550,21,134,126
Burger King Bacon & Swiss Sourdough King,1000,48,56,65
Burger King Bacon Cheeseburger,330,32,18,16
Burger King Bacon Cheeseburger Deluxe,290,28,12,14
Burger King Bacon King,1040,48,57,48
Burger King Bacon King Jr,730,63,32,39
Burger King BBQ Bacon King,1100,51,57,75
Burger King Cheeseburger,300,28,16,14
Burger King Double Bacon Cheeseburger,520,33,31,31
Burger King Double Cheeseburger,450,29,26,26
Burger King Double Hamburger,360,28,22,18
Burger King Double Quarter Pound King,900,50,56,54
Burger King Extra Long Cheeseburger,580,45,26,33
Burger King Farmhouse King,1220,62,,80
Burger King Hamburger,260,28,13,10
Burger King Homestyle Cheeseburger,550,48,30,27
Burger King Jalapeno King Sandwich,990,46,55,65
Burger King Mushroom & Swiss King,940,45,49,63
Burger King Rodeo Burger,310,38,9,13
Burger King Rodeo King,1250,69,60,82
Burger King Sourdough King Single,730,52,35,43
Burger King Sourdough King Double,970,52,55,61
Burger King Steakhouse King,1100,59,50,74
Burger King Bacon & Cheese Whopper,770,47,29,48
Burger King DOUBLE WHOPPER w/o Cheese,900,51,47,57
Burger King DOUBLE WHOPPER w/ Cheese,990,53,52,65
Burger King WHOPPER w/o Cheese,660,49,28,40
Burger King WHOPPER w/ Cheese,760,53,33,47
Burger King WHOPPER JR. w/o Cheese,340,28,14,19
Burger King WHOPPER JR. w/ Cheese,380,29,16,23
Burger King Bacon Cheddar Ranch Chicken Salad w/ grilled Chicken & Dressing,590,18,42,40
Burger King Bacon Cheddar Ranch Chicken Salad w/ crispy Chicken & Dressing,720,32,36,50
Burger King Chicken BLT Salad w/ Grilled Chicken,550,17,36,37
Burger King Chicken BLT Salad w/ Crispy Chicken,690,31,35,48
Burger King Chicken Caesar Salad w/ Grilled Chicken,530,26,35,32
Burger King Chicken Caesar Salad w/ Crispy Chicken,670,40,34,43
"Burger King Chicken, Apple & Cranberry Salad w/ Grilled Chicken",560,40,29,30
"Burger King Chicken, Apple & Cranberry Salad w/ Crispy Chicken",700,54,28,41
"Burger King Garden Grilled Chicken Salad w/ Grilled Chicken, no dressing",320,16,36,14
"Burger King Garden Grilled Chicken Salad w/ Crispy Chicken, no dressing",450,30,29,24
Burger King Side Caesar Salad with dressing,220,7,6,20
Burger King Side Garden Salad and Avocado Ranch Dressing,230,7,5,21
Burger King Bacon Cheddar Ranch Crispy Chicken Sandwich,830,57,34,52
Burger King BBQ Bacon Crispy Chicken Sandwich,440,44,7,27
Burger King Big Fish Sandwich,530,54,17,27
Burger King BK VEGGIE Burger,410,44,22,16
Burger King Chicken Burger,480,42,22,25
Burger King Chicken Cordon Bleu Sandwich,730,63,32,39
Burger King Chicken Fries,290,18,16,17
Burger King 4 Piece Chicken Nuggets,190,10,10,11
Burger King 6 Piece Chicken Nuggets,290,15,15,17
Burger King 20 Piece Chicken Nuggets,950,50,51,55
Burger King Chicken Nuggets (10pc),470,34,21,29
Burger King Chicken Parmesan Sandwich,570,57,32,25
Burger King Crispy Buffalo Chicken Melt,580,56,30,28
Burger King Crispy Chicken Jr.,430,34,12,28
Burger King Crispy Chicken Sandwich,670,54,23,41
Burger King Grilled Chicken Sandwich,470,39,37,19
Burger King Grilled Chili Cheese Dog,330,28,14,19
Burger King Grilled Hot Dog,310,32,11,16
Burger King Jalapeno Chicken Fries,300,19,15,18
Burger King Original Chicken Sandwich,630,46,24,39
Burger King Pretzel Chicken Fries,340,21,16,21
Burger King Rodeo Crispy Chicken Sandwich,410,53,12,17
Burger King Sourdough Chicken Club,840,62,32,51
Burger King 4 Piece Spicy Chicken Nuggets,210,11,8,15
Burger King Spicy Chicken Nuggets,530,28,20,37
Burger King Spicy Crispy Chicken Jr.,410,35,12,25
Burger King Spicy Crispy Chicken Sandwich,700,57,25,42
Burger King Spicy Crispy Jalapeno Chicken Sandwich,760,58,32,45
Dairy Queen 1/2 lb. FlameThrower® GrillBurger,1000,40,46,74
Dairy Queen 1/2 lb. GrillBurger with Cheese,800,44,40,51
Dairy Queen 1/4 lb. Bacon Cheese GrillBurger,630,44,30,37
Dairy Queen 1/4 lb. GrillBurger with Cheese,540,44,23,30
Dairy Queen 1/4 lb. Mushroom Swiss GrillBurger,570,39,24,35
Dairy Queen Original Cheeseburger,400,34,19,18
Dairy Queen Original Double Cheeseburger,630,34,34,34
Dairy Queen 4 Piece Chicken Strip Basket w/ Country Gravy,1030,105,35,53
Dairy Queen 6 Piece Chicken Strip Basket w/ Country Gravy,1260,121,49,66
Dairy Queen Bacon Cheese Dog,420,26,19,26
Dairy Queen Cheese Dog,390,26,16,24
Dairy Queen Chili Cheese Dog,380,23,16,24
Dairy Queen Chili Dog,330,24,13,20
Dairy Queen Hot Dog,290,22,11,17
Dairy Queen Relish Dog,350,30,13,20
Dairy Queen Barbecue Pork Sandwich,310,41,17,9
Dairy Queen Breaded Mushrooms,250,36,7,9
Dairy Queen Regular Cheese Curds,550,0,35,45
Dairy Queen Large Cheese Curds,1050,52,43,75
Dairy Queen Chili Cheese Mega Dog,760,48,32,49
Dairy Queen Corn Dog,260,26,6,15
Dairy Queen Crispy Fish Sandwich,470,53,17,22
Dairy Queen Deluxe Cheeseburger,400,35,20,18
Dairy Queen Deluxe Double Cheeseburger,640,35,34,34
Dairy Queen Deluxe Double Hamburger,540,34,29,26
Dairy Queen Deluxe Hamburger,350,34,17,14
Dairy Queen DQ Ultimate® Burger,780,34,41,48
Dairy Queen Pork Tenderloin Sandwich,580,48,19,34
Dairy Queen Steak Finger Basket,910,95,23,48
Dairy Queen 3 chicken strips Chicken Strips,350,22,22,20
Dairy Queen Chicken Bacon Ranch Sandwich,500,45,33,20
Dairy Queen Chicken Mozzarella Sandwich,640,68,34,25
Dairy Queen Crispy Chicken BLT Salad,520,25,37,31
Dairy Queen Crispy Chicken Garden Greens Salad,280,24,17,13
Dairy Queen Crispy Chicken Sandwich,600,59,24,30
Dairy Queen Crispy Chicken Wrap,350,30,12,21
Dairy Queen Grilled Chicken BLT Salad,380,11,42,19
Dairy Queen Grilled Chicken Garden Greens Salad,150,10,23,2
Dairy Queen Grilled Chicken Sandwich,360,32,25,15
Dairy Queen Grilled Chicken Wrap,280,22,15,15
Dairy Queen Side Salad,20,5,1,0
Dairy Queen Turkey BLT Sandwich,550,45,30,26
"Subway 6"" B.L.T.",320,43,15,9
Subway Footlong B.L.T.,640,86,30,18
"Subway 6"" BBQ Rib Sandwich",430,47,19,18
Subway Footlong BBQ Rib Sandwich,860,94,38,36
"Subway 6"" Big Hot Pastrami",580,47,29,31
Subway Footlong Big Hot Pastrami,1160,94,58,62
"Subway 6"" Big Philly Cheesesteak",500,51,38,17
Subway Footlong Big Philly Cheesesteak,1000,102,76,34
Subway Kids Mini Sub Black Forest Ham,180,30,10,3
"Subway 6"" Black Forest Ham",290,46,18,5
Subway Footlong Black Forest Ham,580,92,36,10
"Subway 6"" Carved Turkey",330,45,25,5
Subway Footlong Carved Turkey,660,90,50,10
"Subway 6"" Carved Turkey & Bacon w/ Cheese",570,46,33,26
Subway Footlong Carved Turkey & Bacon w/ Cheese,1140,92,66,52
"Subway 6"" Chicken & Bacon Ranch Melt",570,47,35,28
Subway Footlong Chicken & Bacon Ranch Melt,1140,94,70,56
"Subway 6"" Chicken Pizziola Melt",460,49,32,16
Subway Footlong Chicken Pizziola Melt,920,98,64,32
"Subway 6"" Cold Cut Combo",370,46,18,13
Subway Footlong Cold Cut Combo,740,92,36,26
"Subway 6"" Corned Beef Reuben",470,45,39,15
Subway Footlong Corned Beef Reuben,940,90,78,30
"Subway 6"" Italian B.M.T.",410,46,20,16
Subway Footlong Italian B.M.T.,820,92,40,32
"Subway 6"" Italian Hero",550,47,26,29
Subway Footlong Italian Hero,1100,94,52,58
"Subway 6"" Meatball Marinara",480,59,21,18
Subway Footlong Meatball Marinara,960,118,42,36
"Subway 6"" Oven Roasted Chicken",320,47,23,5
Subway Footlong Oven Roasted Chicken,640,44,46,10
Subway Kids Mini Sub Roast Beef,200,30,14,3
