Nama,Energy (kCal),Carbohydrates (g),Protein (g),Total Fat (g)
Pizza Hut Veggie Tandoori (Medium),480.3,63.17,16.35,18.03
Pizza Hut Corn n Cheese (Medium),406.53,54.39,18.48,12.78
Pizza Hut Country Feast (Medium),481.67,74.63,21.03,11
Pizza Hut Double Cheese (Medium),443.92,60.58,18.77,14.06
Pizza Hut Double Paneer Supreme (Medium),507.01,55.45,22.44,21.72
Pizza Hut Farmer`s Pick (Medium),454.66,58.91,21.72,14.62
Pizza Hut Margherita (Medium),369.29,51,15.79,11.35
Pizza Hut Spiced Paneer (Medium),446.9,51.35,23.73,16.29
Pizza Hut Tandoori Onion (Medium),440.04,59.76,16.55,14.98
Pizza Hut Tandoori Paneer (Medium),586.42,81.98,20.44,19.64
Pizza Hut Veg Exotica (Medium),401.67,58.71,16.47,11.22
Pizza Hut Veg Kebab Surprise (Medium),603.65,71.73,28.02,22.74
Pizza Hut Veggie Feast (Medium),450.64,65.22,19.69,12.34
Pizza Hut Veggie Lover (Medium),486.61,66.33,20.01,15.69
Pizza Hut Veggie Supreme (Medium),473.08,60.49,20.67,16.49
Pizza Hut Chicken n Corn Delight (Medium),392.84,49.03,19.99,13.11
Pizza Hut Chicken Pepper Crunch (Medium),492.59,54.95,23.48,19.87
Pizza Hut Chicken Pepperoni (Medium),466.92,53.45,17.11,20.52
Pizza Hut Chicken Sausage (Medium),451.49,50.1,18.44,19.7
Pizza Hut Chicken Supreme (Medium),485.2,52.18,25.86,19.23
Pizza Hut Chicken Tikka Supreme (Medium),490.49,57.03,24.47,18.24
Pizza Hut Double Chicken Sausage (Medium),466.64,50.23,18.58,21.27
Pizza Hut Italian Chicken Feast (Medium),485.05,55.98,22.4,19.06
Pizza Hut Malai Chicken Tikka (Medium),473.47,59.17,22.93,16.12
Pizza Hut Spiced Chicken Meatball (Medium),432.56,49.47,21.93,16.33
Pizza Hut Triple Chicken Feast (Medium),583.99,60.83,27.37,25.44
Pizza Hut Chicken Tikka (Medium),516.89,62.04,23.01,19.63
Pizza Hut Cheese Maxx (Personal),147.38,4.05,5.17,12.27
Pizza Hut Veg kebab (Personal),192.02,13.73,5.86,12.63
Pizza Hut Chicken Seekh Kebab (Personal),194.67,7.16,8.03,14.88
Pizza Hut Cheese Maxx (Medium),149.37,4.04,4.97,12.59
